Date,Year,Month,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21
1/15/1982,1982,1,5930.91,6308.95,5310.24,4642.14,5483.85,5949.37,5324.32,6533.18,5369.31,4884.6,6366.74,6123.57,5277.18,2990.46,3453.51,4108.11,4726.55,4585.48,2934.38,4079.54,4202.74
2/15/1982,1982,2,6443.68,6745.07,6006.49,5254.71,5858.79,6585.92,5682.73,7023.19,6100.98,5596.83,6895,6692.38,6166.8,3857.35,4291.11,4701.68,5203.95,5407.98,3463.58,4756.17,4670.03
3/15/1982,1982,3,7324.82,7712.02,6902.61,6246,6697.13,7558.24,6538.95,7789.46,7060.31,6383.19,7680.48,7425.62,7018.2,4800,5254.65,5543.32,5686.32,6356.59,4336.38,5460.38,5301.13
4/15/1982,1982,4,7824.68,7876.16,7066.51,6434.76,6836.67,7603.53,6642.86,7858.49,7253.33,6448.62,7760.91,7545.52,7060.3,5239.24,5589.29,5487,5597.55,6411.95,4950.51,5650.21,5668.41
5/15/1982,1982,5,6257.95,6377.21,5607.46,5784.1,6336.64,6222.58,5823.05,6258.93,6046.79,5204.14,6491.74,6163.52,6040.85,4867.81,5218.78,5332,5792.36,5685.54,4104.91,5128.5,5218.51
6/15/1982,1982,6,5282.82,5401.21,5399.68,5730.38,6437.28,5356,5288.95,5304.98,5446.64,4853.55,5791.78,5616.48,5413.72,4900.38,5164.73,5340.37,5754.86,5275.45,3892.96,4683.21,5022.05
7/15/1982,1982,7,5393.86,5541.81,6714.59,7692.67,7532.21,5832.34,5869.73,5488.21,6215.1,5521.62,6106.61,5974.57,5829.95,6059.19,6012.93,5553.95,6238.45,5966.34,4521.11,5039.58,5522.51
8/15/1982,1982,8,5307.18,5502.6,6830.66,7989.29,7548.33,5979.37,5939.18,5558.89,6373.69,6006.71,6273.91,6163.1,6008.1,6142.57,6242.31,5464.26,5956.91,6205.23,4630.89,5053.33,5546.13
9/15/1982,1982,9,5208.36,5351.47,5838.05,6798.52,6772.82,5506.55,5630.82,5378.82,5908.43,5637.02,5964.35,5837.05,5704.52,5413.11,5719.73,5153.79,5698,5774.36,4224.42,4714.67,5121.18
10/15/1982,1982,10,5894.82,5416.23,5276.83,5285.29,5559.15,5118.55,5393.18,5282.02,5611.12,5199.05,5621.96,5447.52,5052.57,4394.11,4968.55,4709.11,5196.73,5142.2,3903.04,4240.08,4898.15
