Date,Year,Month,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22
10/15/1973,1973,10,551.2,1361.6,6542.4,243.1,1973.2,8149.7,763.7,1324.2,12158.7,112472.3,3476.3,2819.4,17139,857.9,25105.6,5890.1,5770.7,14682.2,21790.2,4500.4,11028.5,258600.2
11/15/1973,1973,11,410.7,354,24866.5,10014.8,17852.3,7472.8,7446.8,1527.8,7699.8,18064.5,7400.8,2929.3,12274,1995.5,21067.1,1017.7,984,11675,22285.1,6354.9,20393.1,204086.4
12/15/1973,1973,12,27.8,32.5,7695.9,1394.5,5377.9,5087.3,1870.5,296.8,5421.6,12131.4,1083.6,234.7,3993.3,1435.2,10328.5,193.2,416.5,4508.2,13464.7,2235.2,16591.8,93821.2
1/15/1974,1974,1,27.8,58.6,9231.8,1683.7,7138.9,5516.3,1917,657.2,9286.4,14714.9,4221.4,826.4,4106.2,872.2,8054.2,82.6,72,1781.1,6784.6,252.4,5120.6,82406.3
2/15/1974,1974,2,402.5,1874.3,6591.6,221.6,5806.2,9795.1,2119.4,9750.5,19467.2,15022.1,20714.5,13506.6,14323.5,6269.2,30607.1,8945,5088.8,33503.1,41698.9,23365.9,30175.2,299248.1
3/15/1974,1974,3,375.1,744.9,8626.6,372.8,6326.7,10395.3,563.3,1015.2,25723.2,24630.3,4044,3291.2,11539,5281.2,30993.8,1942.2,7565.6,12743.3,11194.6,17809.1,27983.5,213161
4/15/1974,1974,4,1221.6,12704.8,4311.5,1871.5,10452.6,41506.8,4138.8,40537.7,50527.2,47972,30970.7,24347.5,92852.5,32479.6,120017.7,10533.5,26292.7,74284,29603.1,43707.7,55398.5,755731.8
5/15/1974,1974,5,3573.2,39894.7,58370,52423.6,146605.5,85327.7,64070.7,116592.2,18795.7,47539.3,61255.7,47120.2,242484.4,172155.4,307457.2,26423.4,41220.5,212765.4,129547.1,93764.6,140400.5,2107787.1
6/15/1974,1974,6,3880.3,59622.2,40552.2,32513.4,99623.9,106907.5,41366.4,144442.1,53936.2,71067,66332.7,55565.3,259036.1,194793.8,270616.6,47107.4,47365.1,265142.5,82988.2,94836.9,138181.2,2175877
7/15/1974,1974,7,3653.3,59203.7,42695.4,34262.5,106342.8,121811.6,43564.6,157183.4,61438.7,81348.1,72829,61690.5,292154.2,215471.4,310832.8,66182.5,65211,303777.6,92010.4,104835.3,146878.2,2443376.9
8/15/1974,1974,8,4296.3,66448.7,42571.6,35353.6,117702.3,125818.3,47840.6,173669.7,64474.8,71691.1,75811.6,63689,275016.5,176009.1,255656.5,72203.3,126597.6,294440,83235.8,98513.8,138151.2,2409191.3
