HydroSHEDS_ID Y2003.1 Y2003.2 Y2003.3 Y2003.4 Y2003.5 Y2003.6 Y2003.7 Y2003.8 Y2003.9 Y2003.10 Y2003.11 Y2003.12 Y2004.1 Y2004.2 Y2004.3 Y2004.4 Y2004.5 Y2004.6 Y2004.7 Y2004.8 Y2004.9 Y2004.10 Y2004.11 Y2004.12 Y2005.1 Y2005.2 Y2005.3 Y2005.4 Y2005.5 Y2005.6 Y2005.7 Y2005.8 Y2005.9 Y2005.10 Y2005.11 Y2005.12 Y2006.1 Y2006.2 Y2006.3 Y2006.4 Y2006.5 Y2006.6 Y2006.7 Y2006.8 Y2006.9 Y2006.10 Y2006.11 Y2006.12 Y2007.1 Y2007.2 Y2007.3 Y2007.4 Y2007.5 Y2007.6 Y2007.7 Y2007.8 Y2007.9 Y2007.10 Y2007.11 Y2007.12 Y2008.1 Y2008.2 Y2008.3 Y2008.4 Y2008.5 Y2008.6 Y2008.7 Y2008.8 Y2008.9 Y2008.10 Y2008.11 Y2008.12 Y2009.1 Y2009.2 Y2009.3 Y2009.4 Y2009.5 Y2009.6 Y2009.7 Y2009.8 Y2009.9 Y2009.10 Y2009.11 Y2009.12 Y2010.1 Y2010.2 Y2010.3 Y2010.4 Y2010.5 Y2010.6 Y2010.7 Y2010.8 Y2010.9 Y2010.10 Y2010.11 Y2010.12 Y2011.1 Y2011.2 Y2011.3 Y2011.4 Y2011.5 Y2011.6 Y2011.7 Y2011.8 Y2011.9 Y2011.10 Y2011.11 Y2011.12 Y2012.1 Y2012.2 Y2012.3 Y2012.4 Y2012.5 Y2012.6 Y2012.7 Y2012.8 Y2012.9 Y2012.10 Y2012.11 Y2012.12 Y2013.1 Y2013.2 Y2013.3 Y2013.4 Y2013.5 Y2013.6 Y2013.7 Y2013.8 Y2013.9 Y2013.10 Y2013.11 Y2013.12 Y2014.1 Y2014.2 Y2014.3 Y2014.4 Y2014.5 Y2014.6 Y2014.7 Y2014.8 Y2014.9 Y2014.10 Y2014.11 Y2014.12 Y2015.1 Y2015.2 Y2015.3 Y2015.4 Y2015.5 Y2015.6 Y2015.7 Y2015.8 Y2015.9 Y2015.10 Y2015.11 Y2015.12 Y2016.1 Y2016.2 Y2016.3 Y2016.4 Y2016.5 Y2016.6 Y2016.7 Y2016.8 Y2016.9 Y2016.10 Y2016.11 Y2016.12 Y2017.1 Y2017.2 Y2017.3 Y2017.4 Y2017.5 Y2017.6 Y2017.7 Y2017.8 Y2017.9 Y2017.10 Y2017.11 Y2017.12 Y2018.1 Y2018.2 Y2018.3 Y2018.4 Y2018.5 Y2018.6 Y2018.7 Y2018.8 Y2018.9 Y2018.10 Y2018.11 Y2018.12 Y2019.1 Y2019.2 Y2019.3
sub_1 4.27 4.38 18.8 56.74 108.37 81.23 74.47 44.46 20.14 2.31 4.52 1.89 2.75 3.42 16.97 48 39.2 52.85 50.87 37.73 22.25 22.38 4.1 3.2 2.06 2.19 30.97 52.77 118.72 96.77 76.18 45.16 31.95 2.04 2.3 2.71 1.52 0.42 20.02 43.17 71.77 60.81 66.44 40.03 21.67 6.55 3.78 2.46 2.25 1.04 13.63 32.65 59.91 43.87 56.62 38.15 25.7 27.16 0.92 1.63 2.09 1.99 5.87 19.03 30.43 57.22 80.88 31.09 14.52 10.93 3.31 3.46 0.17 1.08 7.98 23.36 47.17 69.47 45.04 29.18 16.44 12.45 3.3 1.65 0.86 3.04 27.91 47.67 88.1 73.72 60.79 45.37 19.15 14.49 9.23 5.52 1.25 3.53 26.1 42.31 88.29 90.17 93.72 36.62 15.87 32.44 3.36 1.39 1.35 1.04 20.61 37.08 64.31 58.77 52.64 34.3 14.98 4.56 14.73 1.59 0.59 0.42 7.74 31.76 48.25 45.18 47.02 38.61 37.93 2.97 1.35 4.05 0.19 1.31 15.93 37.37 43.67 34.17 55.37 39.18 38.01 31.99 9.13 1.54 1.16 6.09 13.41 22.36 47.18 41.65 51.4 53.64 22.6 1.97 2.4 2.78 0.4 5.23 14.4 39.89 80.06 72.72 64.51 39.52 18.46 17.1 13.13 2.27 3.89 4.43 24.04 42.31 79.61 75.07 61.96 51.95 35.22 4.25 5.99 2.47 0.59 1.69 9.77 50.04 63.65 59.79 72.1 64.33 17.14 1.68 0.02 0.68 0.47 1.26 12.94
sub_2 6.44 11.42 31.66 64.06 105.6 74.34 62.7 39.47 23.94 3 4.15 3.11 2.92 7.91 25.44 41.81 35.75 50.21 55.73 37.61 19.97 25.41 13.04 7.82 5.36 8.8 42.28 62.67 120.39 88.14 64.43 39.46 24.79 3.72 10.23 3.52 2.39 3.41 35.66 59.29 70.6 62.27 65.22 43.31 26.61 6.46 3.93 3.15 3.2 1.61 12.61 24.21 51.47 45.36 50.71 37.22 33.7 20.96 0.86 4.12 3 8.83 7.81 18.3 31.63 64.71 65.79 37.38 23.35 13.78 6.03 4.3 0.7 4.79 13.1 21.75 38.19 54.11 48.43 34.69 21.85 16.1 2.93 3.34 1.83 4.52 35.79 60.33 76.02 69.29 57.09 45.94 18.69 17.94 12.2 6.81 4.55 5.54 29.08 37.09 78.68 82.01 74.42 36.86 19.02 25.54 4.03 3.55 1.64 2.69 20.01 44.94 59.85 55.04 52.75 38.07 20.2 9.87 11.21 3.24 3.54 1.83 6.58 27.26 41.87 46.92 49.14 41.16 41.41 5.28 2.21 6.65 2.17 0.99 20.28 41.97 41.63 43.89 59.54 39.69 39.09 15.81 8.04 3.38 3.44 12.74 14.65 22.66 47.17 48.28 54.15 51.67 29.82 7.37 4.81 2.59 0.93 13.28 25.69 40.01 66.54 62.61 55.96 44.06 24.69 34.14 12.91 7.24 5.18 5.32 29.34 45.69 73.37 73.17 60.34 56.76 32.98 10.79 9.09 6.93 1.8 4.89 13.77 40.13 52 51.65 61.26 61.25 23.62 6.08 0.52 4.52 1.59 3.84 26.7
sub_3 9.77 18.72 31.89 50.07 105.48 124.31 126.84 94.39 59.88 9.17 7.12 4.27 4.6 12.17 32.27 40.72 69.12 117.69 132.42 102.69 48.94 33.25 19.32 12.18 8.02 15.82 48.68 46.06 110.75 109.93 121.19 95.34 53.34 6.27 13.81 7.27 5.65 6.25 50.94 70.39 75.19 108.99 132.71 101.38 69.3 9.96 5.74 4.98 4.78 8.19 13.11 24.43 81.14 99.02 125.48 96.34 60.98 29.84 5.41 7.53 7.18 19.41 19.45 24.05 73.48 121.42 140.51 101.24 62.11 21.36 11.98 7.65 3.11 5.69 14.57 23.97 70.73 106.52 125.41 99.49 57.83 33.1 7.09 6.27 2.7 10.04 46.66 59.2 83.88 111.89 134.01 110.94 65.06 29.04 14.59 5.72 9.85 12.34 34.27 42.86 98.04 118.94 141.55 100.94 59.97 22.99 9.59 7.18 6.01 9.72 25.49 49.89 80.67 109.19 126.74 104.44 62.11 21.33 17.57 7.68 7.72 5.96 12.63 33.12 84.6 111.38 129 104.52 74.09 11.3 5.59 7.69 3.59 5.36 20.9 35.16 57.81 93.81 118.21 80.91 59.98 12.74 6.36 7.15 5.72 16.97 23.16 25.87 67.07 95.08 98.72 93.84 42.91 8.48 9.18 3.85 2.34 11.45 31.49 39.22 82.17 113.18 125.48 100.8 54.45 23.58 11.86 10.59 7.04 10.24 42.63 43.96 87.97 115.34 131.01 109.84 58.19 14.94 9.59 5.89 2.79 6.36 22.72 31.15 71.84 107.87 134.61 119.43 53.19 8.57 4.61 9.33 4.88 10.45 38.61
sub_4 12.59 21.41 33.64 46.79 113.22 150.63 170.22 127.76 80.95 12.36 7.29 5.2 6.1 14.62 39.55 38.25 85.79 153.55 183.21 150.03 69.51 36.6 19.39 12.3 8.45 14.86 42.21 37.45 114.96 127.05 156.17 131.48 65.33 8.43 12.72 8.95 7.87 9.74 57.09 80.45 79.59 127.18 171.22 142.17 95.19 14.04 5.86 7.97 6.69 13.92 17.01 33.27 106.95 138.74 175.3 140.23 87.02 39.18 7.5 9.59 9.64 22.11 22.97 25 92.48 156.41 184.39 136.66 82.23 22.17 13.36 10.47 5.37 9.53 19 27.54 93.69 145.29 181.37 148.12 79.05 38.82 6.97 9.22 3.08 15.05 47.4 55.81 80.9 139.2 182.01 158.6 91.43 36.11 14.25 7.82 14.2 13.61 42.65 43.52 103.4 143.68 190.9 150.18 91.67 32.99 10.3 9.5 6.55 12.96 19.32 40.8 87.33 138.45 171.43 148.65 85.2 23.2 20.37 10.72 9.99 6.34 14.09 36.27 105.41 155.3 183.87 145.59 96.04 14.53 8.57 11.59 4.76 5.15 18.32 29.79 71.04 128.03 166.7 119.81 82.79 18.4 9.35 11.14 8.41 19.3 16.09 26.17 87.06 130.35 144.97 122.84 56.37 10.23 11.92 4.45 2.91 11.51 28.5 33.41 89.75 148.23 178.96 148.95 77.84 32.98 12.06 12.55 7.84 10.08 54.04 57 89.58 131.71 165.66 143.16 74.33 20.92 13.07 8.4 4.33 9.79 22.25 30.55 81.72 149.41 189.89 158.12 73.35 13.19 4.53 12.51 7.68 15.94 49.02
sub_5 12.64 14.23 32.47 51.95 108.53 128.29 148.5 110.37 82.33 18.69 8.97 3.5 4.39 11.27 33.87 36.54 82.83 128.89 149.95 123.82 61.67 37.91 18.45 14.65 10.62 13.24 46.21 45.8 117.38 128.66 144.71 115.08 73.36 14.75 19.71 10.48 4.28 8.72 47.21 67.19 76.74 119.77 148.83 119.44 84.49 20.29 7.24 8.17 7.87 14.74 20.2 36.91 94.88 120.09 148.67 118.22 86.84 45.68 6.97 9.26 7.41 15.42 17.15 19.2 80.74 128.69 157.49 110.99 79.48 22.7 16.28 10.21 7.59 11.39 18.39 29.48 92.28 126.4 151.77 129.07 80.6 29.4 10.09 10.33 2.64 12.16 41.02 57.78 82.59 118.32 141.03 121.8 74.04 36.32 18.13 6.48 10.94 10.56 37.63 39.29 96.72 134.23 162.85 119.24 84.77 39.67 12.72 10.82 6.96 8.82 29.29 51.57 90.25 110.25 132.03 114.11 74.5 25.81 20.71 6.31 8.29 6.44 16.86 42.21 90.53 127.56 151.19 120.35 91.5 14.6 9.12 14.75 7.48 5.59 23.07 35.49 76.65 108.56 150.9 107.94 81.57 21.65 11.78 8.88 10.71 19.92 19.09 29.37 81.96 118.78 133.98 113.74 66.12 15.01 13.43 5.32 2.88 13.58 32.85 35.09 95.16 124.48 149.21 130.46 76.43 31.22 13.07 10.91 5.37 7.79 41.29 55.01 94.67 119.84 134.77 121.44 65.66 21.11 12.06 11.93 4.84 11.82 27.98 48.88 83.95 118.86 148.25 134.37 70.44 11.54 4.97 11.56 7.59 11.08 27.81
sub_6 8.53 18.56 41.9 62.39 108.38 109.78 95.98 57.04 40.84 10.77 5.66 3.3 4.06 10.58 44.72 54.28 62.77 103.31 101.93 65.41 29.42 28.83 16.05 13.57 9.95 14.65 60.09 70.03 105.22 92.65 93.18 63.3 33.37 8.38 8.2 8.47 6.74 10.22 52.66 80.66 94.18 97.09 97.58 73.15 45.75 9.8 4.22 5.44 5.69 9.42 35.03 37.19 70.72 82.9 89.34 54.9 35.09 21.44 4.11 4.63 8.62 19.1 30.5 34.43 67.17 96.34 101.8 62.05 33.8 13.7 9.59 9.46 6.6 11.31 28.31 45.33 70.94 84.69 90.15 62.9 27.23 22.55 6.32 6.57 7.35 15.8 53.64 71.77 76.08 97.39 106.15 76.96 32.17 14.25 11.99 4.29 11.29 13.45 41.45 53.02 86.24 99.27 110.06 66.56 32.73 12.47 10.6 5.85 4.29 6.98 28.41 57.3 81.12 85.58 91.62 73.45 34.09 12.52 13.64 7.74 7.14 5.44 21.13 38.92 58.9 84.41 93.28 61.81 38.19 9.41 5.18 9.3 5.24 5.94 22.61 52.25 57.91 76.63 91.37 58.68 33.12 10.33 7.78 7.36 9.62 20.71 32.92 35.08 64.65 79.35 78.13 53.6 20.81 8.93 7.56 4.64 6.61 8.87 38.68 54.78 62.34 80.18 81.6 65.34 27.74 15.42 10.86 8.37 6.95 13.82 45.19 59.51 84.69 94.54 88.47 76.59 30.26 12.57 6.43 6.77 6.78 8.79 34.97 51.93 71.66 88.03 105.2 76.9 30.73 8.33 3.75 7.58 6.6 13.69 38.8
sub_7 7.55 8.33 30.02 38.52 98.09 92.44 87.42 64.74 50.96 7.14 3.23 0.7 0.74 7.2 30.2 25.24 53.88 85.17 91.79 75.49 34.81 21.41 11.48 12.18 7.28 13.54 38.65 45.33 85.23 81.9 77.33 62.85 37.88 6.24 8.52 6.9 1.91 6.42 29.27 56.16 69.75 70.18 74.2 59.26 40.6 4.93 2.75 3.78 4 9.24 23.1 31.47 58.13 60.18 71.68 53.4 38.73 17.34 1.3 4.01 4.73 11.19 15.83 12.26 48.83 71.11 92.42 56.47 43.75 5.07 6.11 7.82 4.77 6.92 16.46 35.67 72.67 67.67 79.6 70.28 37.49 17.26 4.05 6.49 4.65 9.96 33.27 49.22 62.09 79.45 79.92 67.53 38.25 13.84 11.25 6.24 7.31 7.19 27.87 31.74 65.54 79.75 84.23 53.59 39.09 13.93 7.46 5.46 1.57 3.33 10.05 47.5 71.71 62.1 71.53 61.93 37.18 8.51 12.3 4.51 5.65 2.95 21.62 31.21 48.31 70.5 78.6 58.02 47.2 2.32 2.09 9.15 3.89 4.47 12.9 30.04 48.86 64.56 90.32 61.3 42.7 7.19 5.99 6.57 10.42 13.85 17.41 21.51 54.04 67.67 69.82 58.1 32.69 1.93 6.36 2.97 1.2 6.86 26.16 28.91 51.06 64.47 76.35 70.08 34.3 11.36 8.63 7.57 2.29 3.18 27.35 41.5 71.4 62.17 60.77 59.15 29.51 5.7 3.13 9.41 3.95 9.98 21.57 47.85 65.47 74.08 85.6 80.04 37.01 3.85 1.85 5.13 4.48 8.8 19.36
sub_8 11.82 10.32 44.29 48.47 93.57 74.13 66.94 41.64 34.25 4.37 4.54 1.8 2.58 9.56 35.95 34.04 41.5 58.45 57.36 45.48 21.77 19.17 15.43 14.62 3.83 17.87 53.95 65.64 95.93 78.17 69.54 50.3 28.76 3.58 4.38 6.06 1.52 9.44 44.34 76.88 80.34 63.23 62.3 50.36 29.43 5.15 2.78 4.78 2.72 8.82 30.93 49.33 48.17 43.33 60.31 38.85 28.7 10.93 0.89 3.4 3.11 9.94 15.65 13.67 33.42 49.14 68.55 37.28 27.2 6.33 5.62 9 3.92 9.97 26.91 40.51 65.07 49.12 57.54 48.54 21.6 16.5 4 6.43 5.51 12.52 50.17 66.64 74.99 66.52 64.39 47.49 22.62 11.14 16.64 1.59 7.37 11.41 36.05 48.04 64.9 69.46 68.4 41.7 26.7 9.14 9.88 5.62 1.92 2.09 12 56.81 66.93 48.88 55.12 43.82 24.68 5.61 9.53 7.74 3.01 3.38 19.11 40.08 36.7 56.91 55.61 39.87 34.97 2.95 2.2 7.58 2.33 4.51 27.32 43.83 44.26 47.14 72.34 45.71 24.66 5.48 7.28 9.6 14.33 16.88 22.58 28.29 40.02 53.67 57.59 45.66 20.65 3.96 6.74 2.75 3.2 11.77 36.4 58.74 63.54 55.54 60.18 58.85 24.31 8.1 13.27 9.4 3.21 3.68 40.06 72.41 85.5 68.64 68.13 70.47 29.84 11.3 4.62 12.41 2.57 12.07 29.77 57.96 72.65 68.03 79.56 68.7 31.63 5.42 2.57 5.65 4.92 13.69 23.07
sub_9 8.48 15.59 48.6 48.79 94.69 117.04 129.92 98.01 69.18 18.26 9.37 4.02 6.52 9.93 42.97 55.76 71.22 117.86 134.17 109.94 61.9 33.37 19.69 14.29 10.78 19.78 55.91 58.75 84.39 94.37 124.52 103.58 58.87 13.29 7.26 10.55 6.44 12.66 59.27 87.05 90.13 104.17 125.3 106.67 72.35 15.65 5.34 7.22 6.09 11.18 30.23 45.12 81.22 98.52 131.59 101.19 66.01 23.76 5.22 6.49 8.35 15.45 28.89 37.23 72.52 114.65 141.1 109.21 66.84 22.05 10.33 13.09 7.96 15.48 35.48 48.93 78.24 101.41 130.98 111.61 62.24 28.14 7.41 7.51 6.75 19.25 57.68 70.8 68.34 96.17 128.28 109.24 62.45 17.39 15.24 3.39 12.58 16.36 42.42 59.15 82.14 97.25 131.27 101.02 65.89 18.64 12.36 8.54 5.5 8.38 24.2 62.75 85.71 92.67 119.01 108.43 64.37 20.25 14.63 9.92 7.93 6.75 29.47 53.5 68.22 112.31 127.38 103.73 71.25 12.74 7.8 11.35 6.03 7.07 38.95 55.9 70.35 97.27 132 103.83 62.54 16.97 11.54 11.73 14.52 26.49 35.17 46.84 71.44 101.15 120.86 100.98 54.01 12.59 11.5 4.91 7.49 14.48 41.79 63.7 73.86 95.71 109.13 103.24 55.4 27.35 12.45 11.4 7.15 13.89 54.69 66.48 81.47 99.28 114.34 107.23 54.78 21.51 7.86 10.13 6.13 13.46 33.73 57.02 84.59 93.57 126.74 105.01 56.77 14 6.9 8.95 8.72 20.74 44.83
sub_10 13.58 14.66 43.94 25.65 70.74 81.58 117.16 111.94 68.98 17.41 6.64 4.01 4.44 8.92 36.76 37.52 56.58 96.51 126.37 109.64 58.2 26.46 27.73 11.74 10.35 17.17 51.45 51.05 74.17 81.92 119.61 104.39 56.81 10.78 4.87 8.41 6.01 11.13 59.68 68.31 76.75 104 122.4 103.42 66.45 15.07 5.2 5.88 3.79 5.21 15.3 33.41 50.74 79.56 121.41 94.01 63.33 14.36 4.93 5.28 5.94 13.48 29.4 36.81 61.01 99.65 130.42 93.93 54.49 17.31 7.09 10.66 7.76 15.39 23.77 31.12 63.97 73.03 107.27 87.75 48.57 19.19 10.05 5.78 4.93 17.85 55.19 60.63 67.46 83.84 103.76 94.25 54.8 15.78 18.18 7.33 12.95 14.76 38.99 51.69 72.58 101.09 117.42 99.65 58.96 14.38 9.65 5.65 4.18 6.97 18.36 42.56 64.63 93 115.62 101.78 51.51 12.8 7.2 6.7 6.01 8.3 22.36 51.77 61.78 100.87 115.86 89.96 59.4 8.87 8.14 9.38 8.57 6.11 25.95 36.84 54.21 69.74 102.07 65.91 31.88 7.68 12.88 10.89 11.44 16.39 29.98 30.15 41.89 69.86 93.89 72.23 31.96 4.15 14.81 3.19 4.92 18.1 40.35 56.78 65.97 82.28 98 83.13 33.06 7.93 10.24 7.54 6.51 15.37 44.27 56.49 75.89 97.8 106.47 89.44 40.42 23.38 5.71 10.41 4.03 9.32 26.98 43.08 53.81 85.84 109.84 86.12 43.39 12.28 8.44 9.96 8.33 22.93 39.31
