Date,Year,Month,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46
1/15/1998,1998,1,16.29,25.86,37.72,29.66,18.95,37.62,25.19,29.84,47.98,33.66,57.99,45.25,55.35,25.48,28.6,65.01,38.34,54.43,38.04,24.71,46.47,42.78,21.89,30.71,44.58,72.51,37.76,61.57,72.18,47.31,66.55,54.61,61.24,34.48,16.07,32.76,28.23,28.23,23.07,30.17,34.48,34.66,34.66,24.34,55.11,62.5
2/15/1998,1998,2,19.57,31.22,43.53,36.68,22.49,45.47,34.67,36.94,55.67,41.88,66.16,52.64,62.19,33.39,32.13,66.01,47.99,57.31,44.46,31.53,50.99,52.54,26.42,38.38,53.5,73.52,50.03,65.32,78.13,50.03,65.7,55.13,62.77,47.77,21.04,46.88,34.53,34.53,27.32,39.58,42.28,41.5,41.5,30.91,63.96,77.69
3/15/1998,1998,3,48.59,53.59,59.31,59.95,54.2,56.29,61.05,54.08,64.84,62.77,71.04,67.04,70.4,53.38,52.26,70.66,61.18,67.73,59.2,52.81,63.67,63.91,56.03,56.5,64.14,76.15,62.27,70.6,74,64.3,72.38,66.5,71.28,62.37,55.32,62.2,54.82,54.82,55.23,56.15,59.56,59.41,59.41,57.34,70.54,74.51
4/15/1998,1998,4,67.47,79.5,84.43,84.91,79.34,77.24,86.48,76.33,87.24,86.83,93.81,89.77,91.06,81.74,72.55,88.9,87.6,88.85,83.51,72.55,87.37,91.78,80.01,83.59,92.9,95.64,93.19,92.52,94.78,83.79,89.75,88.42,90.96,93.63,78.5,92.64,76.75,76.75,79.04,78.35,83.2,83.88,83.88,82.68,85.22,89.68
5/15/1998,1998,5,69.77,93.22,95.86,99.28,92.03,93.85,101.91,91.23,100.9,99.95,105.8,100.75,101.69,90.66,86.36,105.82,99.42,103.69,94.86,85.48,100.39,105.24,94.75,92.86,107.01,113.27,105.75,105.16,107.25,94.11,100.07,98.07,102.09,109.78,91.57,107.51,93.3,93.3,93.18,93.79,100,100.91,100.91,97.5,99.66,106.1
6/15/1998,1998,6,56.16,97.4,123.62,119.49,90.4,112.91,105.54,110.68,117.19,116.79,118.62,118.45,118.12,122.19,109.8,125.04,136.04,125.36,123.36,99.21,124.49,139.48,111.34,122.78,139.61,127.35,135.58,123.52,120.75,112.7,114.27,114.56,117.25,131.72,77.78,119.89,107.91,107.91,102.84,110.52,120.18,123.25,123.25,117.69,132.42,135.74
7/15/1998,1998,7,23.57,56.66,114.28,93.38,40,101.09,53.14,94.69,110.77,89.17,114.24,104.06,112.15,105.39,109.45,131.14,122.66,128.3,114.28,77.08,119.56,119.18,70.2,117.22,116.47,130.42,104.68,125.33,127.39,109.38,120.67,111.88,117.09,91.31,26.22,76.7,78.12,78.12,59.73,98.13,101.65,102.55,102.55,89.68,135.77,140.15
8/15/1998,1998,8,10.78,21.19,50.59,35.82,10.66,52.24,17.49,44.2,62.51,39.66,67.95,53.99,64.95,39.45,57.73,74.38,55.21,68.49,49.21,39.1,58.7,55.45,20.78,49.43,54.41,77.62,45.91,69.4,78.04,61.82,76.7,62.21,70.63,45.33,6.87,35.33,32.97,32.97,19.5,50.3,45.31,43.02,43.02,29.95,72.81,78.93
9/15/1998,1998,9,12.95,16.42,26.77,26.41,10.93,37.98,9.96,40.17,56.09,25.3,54.88,38.35,49.09,19.33,35.47,41.96,29.21,38.5,25.64,32.55,32.36,30.24,22.41,24.91,30.23,46.13,26.05,40.88,46.23,45.72,57.62,44.56,55.36,27.87,11.33,20.55,28.72,28.72,18.61,35.56,31.63,29.83,29.83,22.2,43.32,46.89
10/15/1998,1998,10,4.85,9.48,20.76,13.87,7.43,19.25,11.45,23.48,32.8,18.7,31.8,23.37,26.82,16.78,20.29,28.31,20.5,27.32,20.11,17.04,24.4,20.83,9.14,20.53,20.6,33.79,16.41,29.86,33.25,28.88,33.95,25.82,28.92,18.99,5.83,15.78,13.99,13.99,9.24,17.82,15.98,14.74,14.74,12.13,29.07,28.35
11/15/1998,1998,11,8.59,13.94,31.58,21.2,11.91,24.45,19.01,22.25,33.09,23.99,38.58,31.76,37.77,23.11,29.41,51.28,33.98,42.96,31.7,17.7,37.08,35.21,14.91,26.53,35.42,53.24,28.9,46.05,51.42,39.85,52.53,41.69,45.03,27.97,10.43,25.86,17.26,17.26,13.78,21.01,23.25,23.57,23.57,18.87,53.65,52.31
12/15/1998,1998,12,6.82,11.72,13.43,13.83,9.12,16.38,12.2,13.71,20.73,14.58,23.66,18.46,22.39,9.89,11.4,21.66,13.31,18.25,13.46,12.95,16.01,14.17,10.56,11.3,14.64,23.77,13.09,20.74,23.23,19.01,26.54,20.82,24.36,13.06,8.62,12.57,13.9,13.9,11.01,14.76,15.66,15.09,15.09,12.15,19.16,20.03
1/15/1999,1999,1,9.2,18.93,17.45,20.47,12.58,25.2,20.25,21.12,33.44,24.59,40.53,31.86,37.91,13.14,14.64,26.92,18.93,23.49,17.24,17.74,21,20.6,14.81,14.88,21.01,31.72,19.08,28.26,31.7,27.33,42.43,34.88,40.48,20.13,10.49,20.72,20.81,20.81,16.23,20.99,22.63,22.12,22.12,17.18,27.16,28.12
2/15/1999,1999,2,18.65,25.06,34.4,34.98,24.24,37.98,31.78,33.48,49.84,38.18,59.49,48.42,57.42,25.71,27.14,52.78,35.2,46.83,33.86,28.96,41.06,38.7,27.43,29.64,40.16,60.21,38.03,52.7,59.07,46.45,63.31,52.37,60.42,37.74,24.31,37.6,28.96,28.96,25.97,33.55,36.66,36.54,36.54,31.32,47.48,51.62
3/15/1999,1999,3,30.06,41.73,55.11,61.88,46.75,56.83,58.32,54.19,60.5,59.58,64.37,62.04,64.13,52.14,48.36,61.28,57.53,59.8,54.61,50.13,58.15,60.66,54.65,54.03,61.14,66.86,60.84,62.9,65.27,57.25,65.82,62.07,65.83,61.2,42.91,60.93,46.96,46.96,48.1,55.4,61.59,62.61,62.61,60.71,57.52,64.07
4/15/1999,1999,4,40.88,62.22,84.78,85.79,64.67,76.3,84.6,74.82,83.25,85.77,88.89,88.54,88.37,84.81,72.76,83.65,89.52,85.57,84.03,68.42,86.07,93.37,77.77,85.17,94.16,89.62,94.61,88.02,88.46,79.64,87,87.38,88.64,97.87,53.57,96.5,67.99,67.99,69.69,75.62,84.33,85.6,85.6,85.14,82.46,88.12
5/15/1999,1999,5,23.61,47.95,107.75,109.69,44.86,97.51,88.05,100.01,110.98,107.8,114.3,112.56,112.43,104.68,91.3,109.71,112.27,112.52,107.62,76.96,109.84,113.47,85.11,109.51,113.49,114.79,108.09,111.42,110.12,102.95,109.94,108.52,112.4,114.73,25.57,106.34,72.29,72.29,64.13,93.82,108.56,109.62,109.62,109.36,105.07,111.96
