Region Y1998 Y1998.1 Y1998.2 Y1998.3 Y1998.4 Y1998.5 Y1998.6 Y1998.7 Y1998.8 Y1998.9 Y1998.10 Y1998.11 Y1999 Y1999.1 Y1999.2 Y1999.3 Y1999.4 Y1999.5 Y1999.6 Y1999.7 Y1999.8 Y1999.9 Y1999.10 Y1999.11 Y2000 Y2000.1 Y2000.2 Y2000.3 Y2000.4 Y2000.5 Y2000.6 Y2000.7 Y2000.8 Y2000.9 Y2000.10 Y2000.11 Y2001 Y2001.1 Y2001.2 Y2001.3 Y2001.4 Y2001.5 Y2001.6 Y2001.7 Y2001.8 Y2001.9 Y2001.10 Y2001.11 Y2002 Y2002.1 Y2002.2 Y2002.3 Y2002.4 Y2002.5 Y2002.6 Y2002.7 Y2002.8 Y2002.9 Y2002.10 Y2002.11 Y2003 Y2003.1 Y2003.2 Y2003.3 Y2003.4 Y2003.5 Y2003.6 Y2003.7 Y2003.8 Y2003.9 Y2003.10 Y2003.11 Y2004 Y2004.1 Y2004.2 Y2004.3 Y2004.4 Y2004.5 Y2004.6 Y2004.7 Y2004.8 Y2004.9 Y2004.10 Y2004.11 Y2005 Y2005.1 Y2005.2 Y2005.3 Y2005.4 Y2005.5 Y2005.6 Y2005.7 Y2005.8 Y2005.9 Y2005.10 Y2005.11 Y2006 Y2006.1 Y2006.2 Y2006.3 Y2006.4 Y2006.5 Y2006.6 Y2006.7 Y2006.8 Y2006.9 Y2006.10 Y2006.11 Y2007 Y2007.1 Y2007.2 Y2007.3 Y2007.4 Y2007.5 Y2007.6 Y2007.7 Y2007.8 Y2007.9 Y2007.10 Y2007.11 Y2008 Y2008.1 Y2008.2 Y2008.3 Y2008.4 Y2008.5 Y2008.6 Y2008.7 Y2008.8 Y2008.9 Y2008.10 Y2008.11 Y2009 Y2009.1 Y2009.2 Y2009.3 Y2009.4 Y2009.5 Y2009.6 Y2009.7 Y2009.8 Y2009.9 Y2009.10 Y2009.11 Y2010 Y2010.1 Y2010.2 Y2010.3 Y2010.4 Y2010.5 Y2010.6 Y2010.7 Y2010.8 Y2010.9 Y2010.10 Y2010.11 Y2011 Y2011.1 Y2011.2 Y2011.3 Y2011.4 Y2011.5 Y2011.6 Y2011.7 Y2011.8 Y2011.9 Y2011.10 Y2011.11 Y2012 Y2012.1 Y2012.2 Y2012.3 Y2012.4 Y2012.5 Y2012.6 Y2012.7 Y2012.8 Y2012.9 Y2012.10 Y2012.11 Y2013 Y2013.1 Y2013.2 Y2013.3 Y2013.4 Y2013.5 Y2013.6 Y2013.7 Y2013.8 Y2013.9 Y2013.10 Y2013.11 Y2014 Y2014.1 Y2014.2 Y2014.3 Y2014.4 Y2014.5 Y2014.6 Y2014.7 Y2014.8 Y2014.9 Y2014.10 Y2014.11 Y2015 Y2015.1 Y2015.2 Y2015.3 Y2015.4 Y2015.5 Y2015.6 Y2015.7 Y2015.8 Y2015.9 Y2015.10 Y2015.11 Y2016 Y2016.1 Y2016.2 Y2016.3 Y2016.4 Y2016.5 Y2016.6 Y2016.7 Y2016.8 Y2016.9 Y2016.10 Y2016.11 Y2017 Y2017.1 Y2017.2 Y2017.3 Y2017.4 Y2017.5 Y2017.6 Y2017.7 Y2017.8 Y2017.9 Y2017.10 Y2017.11 Y2018 Y2018.1 Y2018.2 Y2018.3 Y2018.4 Y2018.5 Y2018.6 Y2018.7 Y2018.8 Y2018.9 Y2018.10 Y2018.11
sub_1 438.96 530.88 200.88 108 208.32 50.4 0 0 7.2 52.08 280.8 89.28 133.92 268.8 119.04 64.8 0 14.4 0 7.44 0 44.64 151.2 44.64 252.96 354.96 104.16 108 37.2 21.6 7.44 0 57.6 111.6 50.4 66.96 178.56 215.04 81.84 79.2 0 28.8 0 0 21.6 37.2 252 319.92 141.36 87.36 66.96 43.2 37.2 0 0 0 0 0 115.2 513.36 186 67.2 126.48 208.8 37.2 0 0 22.32 0 0 158.4 342.24 126.48 341.04 44.64 50.4 22.32 7.2 0 0 0 126.48 64.8 282.72 171.12 107.52 156.24 86.4 186 43.2 0 0 0 14.88 165.6 461.28 238.08 147.84 267.84 237.6 66.96 14.4 0 0 0 0 122.4 200.88 22.32 215.04 7.44 64.8 22.32 7.2 22.32 0 7.2 89.28 28.8 156.24 275.28 90.48 37.2 28.8 22.32 0 0 7.44 0 59.52 86.4 96.72 59.52 201.6 74.4 28.8 52.08 72 0 0 7.2 74.4 64.8 119.04 223.2 161.28 74.4 129.6 29.76 7.2 0 7.44 14.4 126.48 115.2 208.32 66.96 107.52 193.44 36 74.4 36 0 0 7.2 74.4 108 37.2 156.24 62.64 156.24 72 7.44 28.8 0 7.44 0 44.64 165.6 260.4 59.52 47.04 119.04 43.2 22.32 28.8 0 0 36 14.88 50.4 37.2 44.64 194.88 141.36 28.8 14.88 0 0 7.44 64.8 59.52 93.6 275.28 37.2 120.96 52.08 50.4 7.44 7.2 7.44 0 7.2 22.32 72 186 267.84 62.64 245.52 72 22.32 43.2 0 0 0 193.44 136.8 156.24 260.4 215.04 133.92 122.4 7.44 14.4 0 7.44 7.2 14.88 151.2 37.2 141.36 40.32 111.6 115.2 22.32 0 0 0 0 22.32 151.2 133.92
sub_2 357.12 497.28 148.8 100.8 178.56 43.2 0 0 7.2 44.64 208.8 81.84 104.16 228.48 104.16 57.6 0 14.4 0 7.44 0 37.2 129.6 44.64 215.76 292.32 89.28 86.4 44.64 14.4 0 0 28.8 96.72 50.4 52.08 171.12 188.16 89.28 64.8 0 21.6 0 0 14.4 37.2 216 275.28 133.92 60.48 66.96 28.8 29.76 0 0 0 0 0 100.8 431.52 156.24 67.2 111.6 180 44.64 0 0 22.32 0 0 129.6 319.92 119.04 285.36 44.64 28.8 22.32 7.2 0 0 0 126.48 64.8 252.96 178.56 100.8 148.8 72 148.8 43.2 0 0 0 22.32 136.8 453.84 200.88 134.4 260.4 216 44.64 7.2 0 0 0 7.44 100.8 178.56 22.32 208.32 14.88 64.8 14.88 7.2 14.88 0 14.4 66.96 14.4 163.68 282.72 83.52 29.76 21.6 7.44 0 0 7.44 0 52.08 72 81.84 59.52 201.6 81.84 21.6 44.64 50.4 0 0 7.2 74.4 50.4 111.6 230.64 134.4 66.96 115.2 29.76 7.2 0 0 7.2 111.6 93.6 208.32 74.4 107.52 200.88 21.6 59.52 36 0 0 0 59.52 86.4 22.32 171.12 62.64 163.68 64.8 7.44 14.4 0 0 0 29.76 165.6 260.4 37.2 26.88 89.28 36 7.44 21.6 0 0 21.6 7.44 36 29.76 22.32 188.16 133.92 21.6 14.88 0 0 7.44 43.2 37.2 86.4 238.08 22.32 100.8 37.2 50.4 7.44 7.2 0 0 7.2 14.88 57.6 141.36 238.08 41.76 223.2 57.6 14.88 21.6 0 0 0 163.68 108 148.8 260.4 228.48 111.6 108 7.44 7.2 0 0 7.2 7.44 144 22.32 141.36 26.88 126.48 108 22.32 0 0 0 0 14.88 136.8 111.6
sub_3 252.96 456.96 96.72 86.4 133.92 21.6 0 0 7.2 37.2 136.8 59.52 74.4 181.44 89.28 50.4 0 14.4 0 0 0 22.32 93.6 29.76 163.68 236.64 74.4 64.8 44.64 14.4 0 0 7.2 74.4 36 37.2 156.24 161.28 81.84 36 0 7.2 0 0 7.2 29.76 172.8 238.08 111.6 33.6 52.08 14.4 29.76 0 0 0 0 0 86.4 334.8 104.16 60.48 74.4 129.6 44.64 0 0 14.88 0 0 93.6 282.72 96.72 222.72 37.2 14.4 7.44 0 0 0 0 104.16 64.8 223.2 171.12 100.8 126.48 50.4 104.16 28.8 0 0 0 22.32 93.6 401.76 141.36 107.52 230.64 172.8 22.32 7.2 0 0 0 7.44 72 141.36 14.88 174.72 14.88 57.6 14.88 0 7.44 0 7.2 44.64 7.2 148.8 290.16 69.6 22.32 7.2 0 0 0 0 0 29.76 64.8 52.08 52.08 174.72 74.4 21.6 29.76 28.8 0 0 7.2 81.84 43.2 74.4 223.2 107.52 59.52 93.6 22.32 0 0 0 0 81.84 86.4 163.68 59.52 107.52 193.44 7.2 37.2 36 0 0 0 44.64 57.6 7.44 133.92 48.72 141.36 57.6 0 0 0 0 0 14.88 136.8 208.32 29.76 13.44 59.52 28.8 0 14.4 0 0 14.4 0 21.6 7.44 14.88 161.28 89.28 14.4 0 0 0 0 21.6 14.88 72 215.76 14.88 73.92 14.88 36 0 0 0 0 7.2 0 43.2 96.72 215.76 27.84 186 28.8 7.44 7.2 0 0 0 111.6 72 119.04 290.16 235.2 81.84 86.4 0 0 0 0 0 7.44 100.8 7.44 141.36 20.16 126.48 86.4 14.88 0 0 0 0 7.44 108 81.84
sub_4 260.4 383.04 81.84 86.4 126.48 14.4 0 0 7.2 29.76 136.8 59.52 89.28 174.72 66.96 43.2 7.44 7.2 0 0 0 14.88 86.4 22.32 178.56 278.4 74.4 57.6 37.2 7.2 0 0 7.2 81.84 36 29.76 141.36 168 66.96 50.4 0 7.2 0 0 7.2 22.32 129.6 252.96 96.72 40.32 81.84 14.4 37.2 0 0 0 0 0 72 319.92 89.28 53.76 74.4 136.8 37.2 0 0 14.88 0 0 72 223.2 96.72 201.84 29.76 14.4 7.44 0 0 0 0 104.16 64.8 178.56 148.8 80.64 119.04 50.4 81.84 28.8 0 0 0 14.88 64.8 386.88 133.92 87.36 223.2 165.6 22.32 0 0 0 0 0 64.8 126.48 7.44 174.72 7.44 57.6 14.88 0 0 0 7.2 44.64 7.2 133.92 252.96 62.64 22.32 7.2 0 0 0 0 0 29.76 72 66.96 59.52 154.56 74.4 28.8 37.2 14.4 0 0 7.2 89.28 36 81.84 200.88 87.36 74.4 93.6 29.76 0 0 0 0 66.96 86.4 193.44 59.52 114.24 208.32 14.4 37.2 43.2 0 0 0 44.64 43.2 14.88 126.48 41.76 156.24 72 0 0 0 0 0 22.32 136.8 223.2 29.76 13.44 59.52 28.8 7.44 7.2 0 0 14.4 0 28.8 22.32 14.88 154.56 89.28 36 0 0 0 0 14.4 14.88 64.8 230.64 14.88 80.64 14.88 43.2 0 0 0 0 0 7.44 57.6 104.16 208.32 27.84 186 36 7.44 0 0 0 0 111.6 57.6 126.48 305.04 235.2 89.28 108 0 7.2 0 0 0 7.44 100.8 14.88 148.8 33.6 156.24 79.2 14.88 0 0 0 0 14.88 108 81.84
sub_5 394.32 477.12 119.04 122.4 163.68 21.6 0 0 7.2 37.2 208.8 96.72 141.36 248.64 89.28 57.6 14.88 14.4 0 0 0 37.2 122.4 44.64 238.08 368.88 111.6 86.4 44.64 14.4 0 0 7.2 104.16 57.6 59.52 193.44 228.48 81.84 72 7.44 7.2 0 0 7.2 44.64 194.4 327.36 148.8 67.2 119.04 28.8 52.08 0 0 0 0 0 108 476.16 156.24 80.64 104.16 208.8 59.52 0 0 22.32 0 0 100.8 327.36 141.36 278.4 44.64 21.6 14.88 0 0 0 0 148.8 50.4 245.52 186 94.08 171.12 64.8 148.8 50.4 0 0 0 37.2 108 543.12 215.76 134.4 334.8 244.8 29.76 7.2 0 0 0 0 93.6 193.44 22.32 262.08 22.32 72 22.32 14.4 7.44 0 21.6 59.52 0 186 275.28 90.48 44.64 21.6 7.44 0 0 0 0 44.64 79.2 104.16 96.72 188.16 111.6 36 52.08 28.8 0 0 7.2 89.28 50.4 111.6 252.96 120.96 81.84 108 37.2 0 0 0 0 104.16 122.4 238.08 89.28 134.4 252.96 21.6 44.64 43.2 0 0 0 59.52 64.8 29.76 171.12 69.6 193.44 86.4 7.44 0 0 0 0 22.32 172.8 282.72 44.64 26.88 89.28 36 7.44 14.4 0 0 14.4 7.44 36 44.64 37.2 201.6 133.92 28.8 14.88 0 0 0 21.6 22.32 93.6 215.76 29.76 100.8 37.2 57.6 7.44 7.2 0 0 0 14.88 64.8 156.24 245.52 41.76 245.52 43.2 22.32 7.2 0 0 0 141.36 93.6 171.12 334.8 288.96 119.04 122.4 7.44 7.2 0 0 7.2 14.88 151.2 29.76 186 47.04 186 108 22.32 0 0 0 0 14.88 136.8 119.04
sub_6 178.56 322.56 52.08 57.6 96.72 0 0 0 7.2 22.32 93.6 37.2 66.96 134.4 52.08 36 0 0 0 0 0 7.44 57.6 14.88 148.8 229.68 44.64 36 29.76 7.2 0 0 7.2 66.96 21.6 22.32 96.72 134.4 52.08 36 0 0 0 0 7.2 14.88 93.6 200.88 59.52 26.88 59.52 7.2 29.76 0 0 0 0 0 57.6 230.64 44.64 33.6 52.08 93.6 22.32 0 0 7.44 0 0 43.2 156.24 66.96 153.12 14.88 7.2 0 0 0 0 7.2 74.4 64.8 133.92 111.6 80.64 89.28 36 44.64 14.4 0 0 0 7.44 36 275.28 89.28 53.76 163.68 122.4 14.88 0 0 0 0 7.44 43.2 81.84 0 120.96 0 43.2 7.44 0 0 0 7.2 37.2 21.6 96.72 223.2 55.68 22.32 7.2 0 0 0 0 0 29.76 79.2 44.64 52.08 134.4 59.52 28.8 29.76 7.2 0 0 7.2 104.16 28.8 59.52 163.68 73.92 66.96 86.4 22.32 0 0 0 0 44.64 72 156.24 44.64 94.08 171.12 7.2 29.76 43.2 0 0 0 29.76 36 7.44 89.28 27.84 119.04 64.8 0 0 0 0 0 22.32 115.2 178.56 29.76 13.44 37.2 21.6 0 7.2 0 0 14.4 7.44 36 14.88 7.44 120.96 59.52 36 0 0 0 0 7.2 22.32 57.6 238.08 7.44 73.92 14.88 36 0 0 7.44 0 7.2 7.44 57.6 66.96 171.12 27.84 156.24 36 7.44 0 0 0 0 96.72 43.2 89.28 275.28 201.6 74.4 86.4 0 0 0 0 0 14.88 72 7.44 133.92 26.88 126.48 72 7.44 0 0 0 0 14.88 86.4 59.52
sub_7 208.32 302.4 66.96 72 111.6 7.2 0 0 14.4 22.32 108 44.64 81.84 147.84 44.64 36 7.44 0 0 0 0 7.44 64.8 14.88 178.56 250.56 52.08 43.2 37.2 7.2 0 0 7.2 74.4 21.6 22.32 104.16 134.4 52.08 50.4 0 0 0 0 7.2 14.88 86.4 208.32 66.96 33.6 81.84 7.2 37.2 0 0 0 0 0 64.8 223.2 52.08 40.32 66.96 115.2 29.76 0 0 14.88 0 0 50.4 156.24 74.4 160.08 22.32 7.2 7.44 0 0 0 7.2 89.28 72 126.48 133.92 73.92 104.16 43.2 52.08 21.6 0 0 0 7.44 43.2 305.04 104.16 60.48 178.56 144 22.32 0 0 0 0 0 43.2 89.28 7.44 141.12 7.44 50.4 14.88 0 0 0 7.2 37.2 14.4 111.6 208.32 55.68 14.88 7.2 0 0 0 0 0 22.32 72 59.52 59.52 127.68 59.52 36 37.2 14.4 0 0 7.2 89.28 21.6 81.84 148.8 73.92 66.96 86.4 22.32 0 0 0 0 52.08 79.2 178.56 44.64 94.08 178.56 14.4 37.2 43.2 0 0 0 37.2 28.8 14.88 96.72 27.84 133.92 72 0 0 0 0 0 22.32 115.2 200.88 29.76 6.72 52.08 21.6 7.44 7.2 0 0 14.4 0 28.8 22.32 7.44 141.12 66.96 43.2 0 0 0 0 7.2 14.88 57.6 230.64 0 73.92 7.44 43.2 0 0 7.44 0 0 7.44 57.6 89.28 171.12 27.84 171.12 36 14.88 0 0 0 0 104.16 43.2 111.6 267.84 215.04 81.84 93.6 0 7.2 0 0 0 7.44 79.2 14.88 133.92 26.88 141.36 64.8 14.88 0 0 0 0 7.44 100.8 74.4
sub_8 193.44 295.68 81.84 64.8 104.16 7.2 0 0 14.4 22.32 93.6 44.64 104.16 141.12 44.64 43.2 7.44 0 0 0 0 7.44 64.8 14.88 186 229.68 44.64 43.2 37.2 7.2 0 0 7.2 81.84 21.6 22.32 96.72 120.96 52.08 57.6 0 0 0 0 7.2 7.44 86.4 186 52.08 40.32 89.28 14.4 37.2 0 0 0 0 0 72 186 29.76 40.32 59.52 115.2 29.76 0 0 14.88 0 0 50.4 156.24 59.52 139.2 22.32 7.2 7.44 0 0 0 7.2 96.72 64.8 126.48 148.8 94.08 119.04 43.2 44.64 21.6 0 0 7.2 7.44 28.8 245.52 111.6 53.76 178.56 151.2 22.32 0 0 0 0 7.44 43.2 81.84 14.88 134.4 7.44 43.2 7.44 0 0 0 7.2 29.76 21.6 96.72 186 62.64 22.32 7.2 0 0 0 0 0 22.32 79.2 59.52 66.96 114.24 59.52 28.8 29.76 7.2 0 0 14.4 81.84 28.8 81.84 133.92 73.92 59.52 86.4 22.32 0 0 0 0 44.64 79.2 156.24 44.64 87.36 148.8 14.4 29.76 36 0 0 0 29.76 36 22.32 74.4 34.8 104.16 64.8 0 0 0 0 0 14.88 108 156.24 37.2 13.44 44.64 28.8 7.44 7.2 0 0 7.2 7.44 36 22.32 22.32 107.52 59.52 43.2 7.44 0 0 0 7.2 14.88 57.6 208.32 7.44 73.92 14.88 43.2 7.44 7.2 7.44 0 0 7.44 64.8 81.84 163.68 27.84 141.36 50.4 14.88 0 0 0 0 96.72 50.4 96.72 238.08 188.16 74.4 86.4 7.44 0 0 0 0 7.44 72 14.88 119.04 33.6 126.48 57.6 7.44 0 0 0 0 14.88 79.2 66.96
sub_9 156.24 275.52 52.08 50.4 89.28 0 0 0 7.2 22.32 72 29.76 74.4 107.52 44.64 28.8 0 0 0 0 0 7.44 50.4 7.44 141.36 187.92 37.2 28.8 22.32 0 0 0 0 66.96 21.6 14.88 81.84 107.52 44.64 36 0 0 0 0 7.2 7.44 72 171.12 44.64 26.88 59.52 7.2 22.32 0 0 0 0 0 57.6 186 29.76 33.6 44.64 79.2 22.32 0 0 7.44 0 0 43.2 126.48 59.52 125.28 14.88 7.2 0 0 0 0 7.2 74.4 57.6 111.6 104.16 87.36 81.84 36 29.76 14.4 0 0 0 0 21.6 200.88 81.84 47.04 141.36 100.8 14.88 0 0 0 0 7.44 36 66.96 7.44 107.52 7.44 36 7.44 0 0 0 7.2 29.76 14.4 66.96 178.56 55.68 14.88 7.2 0 0 0 0 0 22.32 64.8 52.08 52.08 120.96 52.08 21.6 22.32 7.2 0 0 14.4 81.84 28.8 59.52 133.92 67.2 59.52 79.2 14.88 0 0 0 0 29.76 64.8 126.48 37.2 73.92 133.92 7.2 22.32 36 0 0 0 22.32 28.8 7.44 59.52 20.88 81.84 57.6 0 0 0 0 0 14.88 93.6 141.36 22.32 13.44 29.76 21.6 0 0 0 0 7.2 7.44 36 7.44 7.44 100.8 44.64 28.8 0 0 0 0 7.2 14.88 57.6 200.88 7.44 67.2 7.44 28.8 0 0 0 0 0 7.44 57.6 59.52 148.8 20.88 126.48 36 7.44 0 0 0 0 81.84 36 74.4 208.32 154.56 66.96 64.8 0 0 0 0 0 7.44 50.4 7.44 111.6 26.88 96.72 50.4 0 0 0 0 0 7.44 72 52.08
sub_10 141.36 235.2 81.84 43.2 74.4 7.2 0 0 0 14.88 50.4 22.32 81.84 73.92 37.2 36 0 0 0 0 0 0 36 7.44 119.04 146.16 29.76 36 14.88 7.2 0 0 0 74.4 14.4 7.44 89.28 80.64 52.08 36 0 0 0 0 0 7.44 57.6 119.04 37.2 20.16 44.64 7.2 14.88 0 0 0 0 0 64.8 141.36 22.32 33.6 29.76 64.8 22.32 0 0 7.44 0 0 28.8 111.6 44.64 104.4 14.88 0 0 0 0 0 0 81.84 28.8 111.6 104.16 100.8 81.84 36 29.76 7.2 0 0 0 0 7.2 119.04 89.28 33.6 119.04 86.4 22.32 0 0 0 0 7.44 21.6 59.52 22.32 80.64 7.44 21.6 0 0 0 0 7.2 22.32 7.2 52.08 133.92 48.72 7.44 7.2 0 0 0 0 0 14.88 43.2 52.08 59.52 87.36 37.2 14.4 7.44 0 0 0 7.2 52.08 21.6 59.52 111.6 87.36 44.64 79.2 14.88 0 0 0 0 22.32 50.4 104.16 52.08 60.48 104.16 7.2 14.88 21.6 0 0 0 14.88 28.8 7.44 37.2 20.88 59.52 43.2 0 0 0 0 0 7.44 64.8 89.28 29.76 13.44 22.32 7.2 0 0 0 0 0 0 21.6 7.44 7.44 67.2 37.2 14.4 0 0 0 0 7.2 7.44 43.2 133.92 7.44 40.32 7.44 14.4 7.44 0 0 0 0 7.44 64.8 52.08 141.36 13.92 89.28 50.4 7.44 0 0 0 0 52.08 36 59.52 163.68 107.52 44.64 36 0 0 0 0 0 0 28.8 7.44 66.96 20.16 66.96 28.8 0 0 0 0 0 7.44 57.6 44.64
