Date,Year,Month,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21
1/15/2003,2003,1,4.27,6.44,9.77,12.59,12.64,8.53,7.55,11.82,8.48,13.58,15.92,19.19,13.1,7.34,7.92,4.45,6.93,12.24,6.09,9.11,11.57
2/15/2003,2003,2,4.38,11.42,18.72,21.41,14.23,18.56,8.33,10.32,15.59,14.66,10.54,13.37,10.63,8.18,9.21,4.3,5.9,19.51,8.17,12.17,14.7
3/15/2003,2003,3,18.8,31.66,31.89,33.64,32.47,41.9,30.02,44.29,48.6,43.94,48.03,56.56,41.38,17.89,22.15,17.23,15.55,28.48,6.1,13.69,21.33
4/15/2003,2003,4,56.74,64.06,50.07,46.79,51.95,62.39,38.52,48.47,48.79,25.65,46.21,52.36,31.17,15.55,25.33,23.5,23.43,29.39,10.14,22.16,20.81
5/15/2003,2003,5,108.37,105.6,105.48,113.22,108.53,108.38,98.09,93.57,94.69,70.74,92.86,99.4,81.9,56.71,62.54,75.46,76.41,72.69,24.59,54.22,46.56
6/15/2003,2003,6,81.23,74.34,124.31,150.63,128.29,109.78,92.44,74.13,117.04,81.58,95.33,106.95,78.9,82.07,85.95,70.52,101.69,93.54,28.11,68.74,57.41
7/15/2003,2003,7,74.47,62.7,126.84,170.22,148.5,95.98,87.42,66.94,129.92,117.16,107.06,136.14,105.46,139.25,137.42,97.48,133.57,152,46.54,96.99,86.56
8/15/2003,2003,8,44.46,39.47,94.39,127.76,110.37,57.04,64.74,41.64,98.01,111.94,93.37,122.68,89.26,103.69,121.76,74.57,107.59,127.47,41.78,78.58,74.36
9/15/2003,2003,9,20.14,23.94,59.88,80.95,82.33,40.84,50.96,34.25,69.18,68.98,67.78,74.64,48.9,49.41,65.67,41.33,67.22,68.6,21.58,45.84,33.4
10/15/2003,2003,10,2.31,3,9.17,12.36,18.69,10.77,7.14,4.37,18.26,17.41,15.73,19.97,8.45,3.93,13.11,18.29,26.85,16.3,4.35,15.37,5.48
11/15/2003,2003,11,4.52,4.15,7.12,7.29,8.97,5.66,3.23,4.54,9.37,6.64,7.89,11.19,5.76,1.24,1.28,2.56,3.52,1.94,1.83,2.47,1.21
12/15/2003,2003,12,1.89,3.11,4.27,5.2,3.5,3.3,0.7,1.8,4.02,4.01,4.7,3.5,2.83,3.32,4.59,1.75,2.32,6.86,2.7,2.64,4.5
1/15/2004,2004,1,2.75,2.92,4.6,6.1,4.39,4.06,0.74,2.58,6.52,4.44,3.38,4.65,2.25,1.07,2.26,0.3,0.22,2.34,1.32,0.51,1.6
2/15/2004,2004,2,3.42,7.91,12.17,14.62,11.27,10.58,7.2,9.56,9.93,8.92,8.95,11.86,8.42,4.82,8.75,3.31,3.38,11.54,2.38,3.26,5.75
3/15/2004,2004,3,16.97,25.44,32.27,39.55,33.87,44.72,30.2,35.95,42.97,36.76,40.76,46.85,40.7,15.51,29.44,16,19.77,42.06,12.29,29.63,22.76
4/15/2004,2004,4,48,41.81,40.72,38.25,36.54,54.28,25.24,34.04,55.76,37.52,46.63,55.55,39.66,20.2,26.03,20.04,23.55,32.76,11.37,27.49,19.76
5/15/2004,2004,5,39.2,35.75,69.12,85.79,82.83,62.77,53.88,41.5,71.22,56.58,72.24,79.44,55.01,39.68,46.59,43.5,56.01,52.48,18.72,46.58,35.45
6/15/2004,2004,6,52.85,50.21,117.69,153.55,128.89,103.31,85.17,58.45,117.86,96.51,94.07,111.02,88.4,110.09,112.29,78.98,101.49,111.26,37.29,80.5,70.2
7/15/2004,2004,7,50.87,55.73,132.42,183.21,149.95,101.93,91.79,57.36,134.17,126.37,103.47,136.16,104.06,136.72,144.05,87.1,119.08,145.36,48.56,89.15,80.44
8/15/2004,2004,8,37.73,37.61,102.69,150.03,123.82,65.41,75.49,45.48,109.94,109.64,93.36,116.22,83.74,97.73,120.61,68.94,99.25,122.83,40.4,75.23,62.94
9/15/2004,2004,9,22.25,19.97,48.94,69.51,61.67,29.42,34.81,21.77,61.9,58.2,52.54,60.14,43.57,47.08,66.73,38.57,64.67,68.54,21.95,48.57,30.37
10/15/2004,2004,10,22.38,25.41,33.25,36.6,37.91,28.83,21.41,19.17,33.37,26.46,27.87,34.68,27.53,18.08,29.52,30.31,42.24,25.89,8.82,22.55,11.11
11/15/2004,2004,11,4.1,13.04,19.32,19.39,18.45,16.05,11.48,15.43,19.69,27.73,18.5,27.72,27.29,19.31,15.35,18.02,20.1,15.46,5.52,11.65,5.7
12/15/2004,2004,12,3.2,7.82,12.18,12.3,14.65,13.57,12.18,14.62,14.29,11.74,12.8,12.66,11.57,10.88,8.27,14.58,14.68,12.62,6.21,9.17,10.26
1/15/2005,2005,1,2.06,5.36,8.02,8.45,10.62,9.95,7.28,3.83,10.78,10.35,4.02,10.08,7.57,12.51,7.64,3.12,3.18,14.58,12.28,19.68,13.72
2/15/2005,2005,2,2.19,8.8,15.82,14.86,13.24,14.65,13.54,17.87,19.78,17.17,15.75,20.2,24.77,13.99,22.79,17.94,13.48,22.27,12.78,11.7,7.8
3/15/2005,2005,3,30.97,42.28,48.68,42.21,46.21,60.09,38.65,53.95,55.91,51.45,58.59,68.15,62.2,27.18,54.66,34.53,37.83,64.36,32.65,44.79,22.31
4/15/2005,2005,4,52.77,62.67,46.06,37.45,45.8,70.03,45.33,65.64,58.75,51.05,68.12,68.48,62.18,25.66,40.7,33.12,37.14,54.58,22.24,48.71,27.83
5/15/2005,2005,5,118.72,120.39,110.75,114.96,117.38,105.22,85.23,95.93,84.39,74.17,101.65,105.39,105.58,58.92,81.67,91,96.56,88.55,31.72,76.75,53.51
6/15/2005,2005,6,96.77,88.14,109.93,127.05,128.66,92.65,81.9,78.17,94.37,81.92,93.88,107.68,101.73,85.51,108.22,88.5,110.06,106.84,40.71,94.94,74.82
7/15/2005,2005,7,76.18,64.43,121.19,156.17,144.71,93.18,77.33,69.54,124.52,119.61,112.5,142.98,124.93,126.94,156.58,105.55,138.87,159.48,49.81,106.61,90.24
