Date,Year,Month,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46
1/15/1998,1998,1,96.72,133.92,438.96,200.88,111.6,267.84,148.8,238.08,312.48,357.12,409.2,401.76,424.08,424.08,223.2,431.52,476.16,446.4,446.4,126.48,438.96,386.88,126.48,438.96,312.48,446.4,245.52,431.52,446.4,334.8,483.6,424.08,438.96,290.16,52.08,282.72,163.68,163.68,126.48,208.32,252.96,267.84,267.84,208.32,372,453.84
2/15/1998,1998,2,215.04,262.08,477.12,268.8,215.04,383.04,262.08,329.28,369.6,409.92,450.24,450.24,456.96,490.56,208.32,430.08,564.48,443.52,490.56,262.08,463.68,530.88,201.6,470.4,490.56,443.52,477.12,450.24,470.4,336,450.24,436.8,450.24,530.88,174.72,530.88,282.24,282.24,228.48,349.44,376.32,383.04,383.04,288.96,409.92,524.16
3/15/1998,1998,3,96.72,126.48,186,126.48,111.6,148.8,66.96,141.36,156.24,163.68,178.56,163.68,171.12,178.56,111.6,186,223.2,178.56,193.44,104.16,178.56,178.56,119.04,171.12,148.8,163.68,111.6,148.8,141.36,126.48,171.12,141.36,171.12,96.72,81.84,74.4,141.36,141.36,126.48,126.48,148.8,148.8,148.8,133.92,200.88,223.2
4/15/1998,1998,4,79.2,100.8,122.4,64.8,79.2,86.4,50.4,72,93.6,115.2,129.6,129.6,136.8,115.2,64.8,115.2,100.8,129.6,115.2,86.4,122.4,86.4,72,122.4,79.2,129.6,72,129.6,129.6,100.8,144,129.6,136.8,79.2,36,79.2,122.4,122.4,93.6,79.2,86.4,86.4,86.4,64.8,86.4,93.6
5/15/1998,1998,5,59.52,74.4,215.76,89.28,66.96,119.04,74.4,111.6,141.36,156.24,178.56,178.56,178.56,208.32,163.68,230.64,186,238.08,223.2,74.4,223.2,156.24,66.96,215.76,141.36,223.2,133.92,200.88,193.44,141.36,148.8,148.8,163.68,126.48,52.08,119.04,89.28,89.28,74.4,104.16,111.6,111.6,111.6,89.28,148.8,186
6/15/1998,1998,6,43.2,50.4,57.6,28.8,43.2,50.4,7.2,43.2,36,28.8,36,28.8,36,50.4,72,72,43.2,72,64.8,72,64.8,36,50.4,57.6,28.8,64.8,28.8,50.4,43.2,50.4,43.2,28.8,36,14.4,14.4,0,79.2,79.2,57.6,57.6,43.2,43.2,43.2,28.8,50.4,50.4
7/15/1998,1998,7,7.44,0,0,0,0,0,0,7.44,7.44,0,0,0,0,0,14.88,7.44,0,7.44,0,7.44,7.44,0,0,7.44,0,7.44,0,0,0,7.44,0,0,0,0,0,0,7.44,7.44,0,7.44,0,0,0,0,0,0
8/15/1998,1998,8,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44,0,7.44,0,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/1998,1998,9,21.6,14.4,7.2,14.4,14.4,28.8,0,36,43.2,36,43.2,43.2,50.4,7.2,28.8,14.4,0,14.4,7.2,28.8,14.4,0,14.4,14.4,7.2,14.4,7.2,14.4,14.4,36,57.6,36,57.6,7.2,14.4,7.2,21.6,21.6,14.4,28.8,28.8,28.8,28.8,14.4,14.4,7.2
10/15/1998,1998,10,14.88,14.88,52.08,14.88,14.88,14.88,22.32,14.88,22.32,22.32,22.32,29.76,29.76,52.08,29.76,59.52,52.08,59.52,52.08,14.88,52.08,52.08,14.88,52.08,44.64,52.08,37.2,44.64,37.2,29.76,37.2,37.2,29.76,37.2,7.44,29.76,14.88,14.88,14.88,7.44,7.44,7.44,7.44,7.44,52.08,59.52
11/15/1998,1998,11,36,43.2,280.8,64.8,36,108,57.6,100.8,129.6,151.2,180,187.2,201.6,266.4,208.8,309.6,295.2,302.4,288,43.2,288,216,36,280.8,172.8,288,122.4,266.4,266.4,230.4,302.4,244.8,237.6,158.4,28.8,172.8,50.4,50.4,36,79.2,100.8,108,108,72,324,309.6
12/15/1998,1998,12,59.52,66.96,104.16,37.2,44.64,52.08,22.32,52.08,81.84,96.72,111.6,111.6,119.04,96.72,59.52,111.6,96.72,119.04,104.16,44.64,111.6,81.84,29.76,111.6,74.4,119.04,52.08,111.6,111.6,96.72,148.8,119.04,133.92,59.52,37.2,59.52,66.96,66.96,44.64,44.64,52.08,52.08,52.08,37.2,96.72,96.72
