Year	S14	S15	S16	S17	S18	S19	S20	S21	
2000	1931.566278	2382.386482	524.473056	765.665912	2386.433342	989.45727	563.322912	1382.00269
2001	1822.705744	2212.013676	524.473056	748.264414	2318.446094	821.917266	542.683926	1354.484042
2002	1822.705744	2212.013676	524.473056	748.264414	2318.446094	821.917266	542.683926	1354.484042
2003	1822.705744	2212.013676	524.473056	748.264414	2318.446094	821.917266	542.683926	1354.484042
2004	1731.902299	2146.65284	491.8351301	726.1483241	2314.128094	786.7136309	536.7795573	1296.472304
2005	1816.716391	2205.704621	521.6281134	746.1276719	2316.863772	826.6763734	546.0873353	1362.32281
2006	1727.956611	2082.526297	484.004456	704.4612014	2219.298024	786.1673048	513.3563316	1295.569854
2007	1652.911639	2045.157591	462.1473651	691.8188107	2228.84052	773.3347117	525.456443	1274.420964
2008	1652.911639	2045.157591	462.1473651	691.8188107	2228.84052	773.3347117	525.456443	1274.420964
2009	1652.911639	2045.157591	462.1473651	691.8188107	2228.84052	773.3347117	525.456443	1274.420964
