Year	S14	S15	S16	S17	S18	S19	S20	S21	
2000	2086.561016	2603.345038	638.189822	1111.672442	2745.79451	1260.192204	854.696832	1490.458538
2001	2015.740966	2451.992474	641.831996	1072.822586	2670.522914	1154.164472	833.65316	1465.772692
2002	2015.740966	2451.992474	641.831996	1072.822586	2670.522914	1154.164472	833.65316	1465.772692
2003	2015.740966	2451.992474	641.831996	1072.822586	2670.522914	1154.164472	833.65316	1465.772692
2004	1915.322182	2379.541539	601.8935347	1041.115438	2665.549323	1104.732077	824.5841467	1402.993753
2005	2009.116256	2444.9995	638.3516964	1069.759113	2668.701827	1160.845838	838.88575	1474.254911
2006	1910.95562	2308.458444	592.3105702	1010.019366	2556.316478	1103.963174	788.5994676	1402.01846
2007	1827.966662	2267.034785	565.5608256	991.8934797	2567.311797	1085.942506	807.1907425	1379.133466
2008	1827.966662	2267.034785	565.5608256	991.8934797	2567.311797	1085.942506	807.1907425	1379.133466
2009	1827.966662	2267.034785	565.5608256	991.8934797	2567.311797	1085.942506	807.1907425	1379.133466
