Year	S14	S15	S16	S17	S18	S19	S20	S21	
2000	154.994738	220.958556	113.716766	346.00653	359.361168	270.734934	291.37392	108.455848
2001	193.035222	239.978798	117.35894	324.558172	352.07682	332.247206	290.969234	111.28865
2002	193.035222	239.978798	117.35894	324.558172	352.07682	332.247206	290.969234	111.28865
2003	193.035222	239.978798	117.35894	324.558172	352.07682	332.247206	290.969234	111.28865
2004	183.4198826	232.8886993	110.0584046	314.9671138	351.4212287	318.0184462	287.8045895	106.5214489
2005	192.399865	239.2948787	116.723583	323.6314411	351.8380553	334.1694645	292.7984147	111.9321007
2006	182.9990092	225.9321469	108.3061142	305.5581643	337.0184539	317.7958689	275.243136	106.4486054
2007	175.055023	221.8771932	103.4134604	300.074669	338.4712767	312.6077944	281.7342995	104.7125025
2008	175.055023	221.8771932	103.4134604	300.074669	338.4712767	312.6077944	281.7342995	104.7125025
2009	175.055023	221.8771932	103.4134604	300.074669	338.4712767	312.6077944	281.7342995	104.7125025
