Year	S14	S15	S16	S17	S18	S19	S20	S21	
2001	1.04483948	1.028085924	1.150705295	1.115559192	1.025428326	1.038475291	1.013570715	1.007917007	8.424581231
2002	1.030035902	1.028516748	1.099986277	1.091667212	1.060920039	1.072620548	1.084716949	0.907674506	8.37613818
2003	0.99858407	0.925305936	0.92755094	1.015221677	0.894791591	0.959208028	0.945099019	0.876039465	7.541800726
2004	1.041787294	1.092004527	1.21268773	1.246434312	1.242142146	1.070729447	1.143414376	0.956465894	9.005665725
2005	0.859883588	0.896571639	0.775512835	0.738326623	0.705484485	0.801831834	0.852253646	0.988294868	6.618159515
2006	0.890502444	0.927075949	0.870433824	0.900871188	0.787224434	0.918325067	0.921960272	1.042363025	7.258756202
2007	1.052704858	1.128050188	1.222192404	1.217841478	1.213830609	1.124694054	1.078373619	1.11776163	9.15544884
2008	1.116193542	1.128585192	1.266646191	1.089868116	1.17026149	1.068427424	1.073215346	1.018437987	8.931635287
2009	1.023208655	0.941974338	0.941813745	0.959328022	1.030161028	1.02007831	0.993823828	1.074133431	7.984521358
2010	0.952511788	0.959308516	0.782484803	0.862385976	0.924407612	0.965248788	0.937660623	1.00924138	7.393249486
2011	0.992527508	0.946679475	0.785719735	0.744688963	0.901581351	0.965836198	0.895576579	1.102535034	7.335144843
2012	0.997220872	0.997841569	0.964266221	1.017807242	1.04376689	0.994525012	1.060335028	0.899135773	7.974898606
