data_final...1. Y1998 Y1998.1 Y1998.2 Y1998.3 Y1998.4 Y1998.5 Y1998.6 Y1998.7 Y1998.8 Y1998.9 Y1998.10 Y1998.11 Y1999 Y1999.1 Y1999.2 Y1999.3 Y1999.4 Y1999.5 Y1999.6 Y1999.7 Y1999.8 Y1999.9 Y1999.10 Y1999.11 Y2000 Y2000.1 Y2000.2 Y2000.3 Y2000.4 Y2000.5 Y2000.6 Y2000.7 Y2000.8 Y2000.9 Y2000.10 Y2000.11 Y2001 Y2001.1 Y2001.2 Y2001.3 Y2001.4 Y2001.5 Y2001.6 Y2001.7 Y2001.8 Y2001.9 Y2001.10 Y2001.11 Y2002 Y2002.1 Y2002.2 Y2002.3 Y2002.4 Y2002.5 Y2002.6 Y2002.7 Y2002.8 Y2002.9 Y2002.10 Y2002.11 Y2003 Y2003.1 Y2003.2 Y2003.3 Y2003.4 Y2003.5 Y2003.6 Y2003.7 Y2003.8 Y2003.9 Y2003.10 Y2003.11 Y2004 Y2004.1 Y2004.2 Y2004.3 Y2004.4 Y2004.5 Y2004.6 Y2004.7 Y2004.8 Y2004.9 Y2004.10 Y2004.11 Y2005 Y2005.1 Y2005.2 Y2005.3 Y2005.4 Y2005.5 Y2005.6 Y2005.7 Y2005.8 Y2005.9 Y2005.10 Y2005.11 Y2006 Y2006.1 Y2006.2 Y2006.3 Y2006.4 Y2006.5 Y2006.6 Y2006.7 Y2006.8 Y2006.9 Y2006.10 Y2006.11 Y2007 Y2007.1 Y2007.2 Y2007.3 Y2007.4 Y2007.5 Y2007.6 Y2007.7 Y2007.8 Y2007.9 Y2007.10 Y2007.11 Y2008 Y2008.1 Y2008.2 Y2008.3 Y2008.4 Y2008.5 Y2008.6 Y2008.7 Y2008.8 Y2008.9 Y2008.10 Y2008.11 Y2009 Y2009.1 Y2009.2 Y2009.3 Y2009.4 Y2009.5 Y2009.6 Y2009.7 Y2009.8 Y2009.9 Y2009.10 Y2009.11 Y2010 Y2010.1 Y2010.2 Y2010.3 Y2010.4 Y2010.5 Y2010.6 Y2010.7 Y2010.8 Y2010.9 Y2010.10 Y2010.11 Y2011 Y2011.1 Y2011.2 Y2011.3 Y2011.4 Y2011.5 Y2011.6 Y2011.7 Y2011.8 Y2011.9 Y2011.10 Y2011.11 Y2012 Y2012.1 Y2012.2 Y2012.3 Y2012.4 Y2012.5 Y2012.6 Y2012.7 Y2012.8 Y2012.9 Y2012.10 Y2012.11 Y2013 Y2013.1 Y2013.2 Y2013.3 Y2013.4 Y2013.5 Y2013.6 Y2013.7 Y2013.8 Y2013.9 Y2013.10 Y2013.11 Y2014 Y2014.1 Y2014.2 Y2014.3 Y2014.4 Y2014.5 Y2014.6 Y2014.7 Y2014.8 Y2014.9 Y2014.10 Y2014.11 Y2015 Y2015.1 Y2015.2 Y2015.3 Y2015.4 Y2015.5 Y2015.6 Y2015.7 Y2015.8 Y2015.9 Y2015.10 Y2015.11 Y2016 Y2016.1 Y2016.2 Y2016.3 Y2016.4 Y2016.5 Y2016.6 Y2016.7 Y2016.8 Y2016.9 Y2016.10 Y2016.11 Y2017 Y2017.1 Y2017.2 Y2017.3 Y2017.4 Y2017.5 Y2017.6 Y2017.7 Y2017.8 Y2017.9 Y2017.10 Y2017.11 Y2018 Y2018.1 Y2018.2 Y2018.3 Y2018.4 Y2018.5 Y2018.6 Y2018.7 Y2018.8 Y2018.9 Y2018.10 Y2018.11
sub_1 96.72 215.04 96.72 79.2 59.52 43.2 7.44 7.44 21.6 14.88 36 59.52 119.04 60.48 44.64 50.4 7.44 0 7.44 7.44 7.2 7.44 28.8 37.2 96.72 139.2 59.52 43.2 14.88 7.2 0 7.44 7.2 44.64 14.4 37.2 89.28 100.8 29.76 79.2 7.44 0 7.44 0 0 14.88 79.2 111.6 37.2 26.88 59.52 21.6 14.88 0 0 0 0 0 136.8 104.16 14.88 87.36 52.08 72 37.2 0 14.88 14.88 7.2 0 36 111.6 52.08 111.36 29.76 14.4 7.44 0 0 0 0 74.4 28.8 89.28 163.68 80.64 96.72 43.2 52.08 0 0 7.44 14.4 22.32 14.4 104.16 119.04 53.76 119.04 93.6 14.88 0 7.44 0 0 14.88 7.2 66.96 29.76 87.36 37.2 43.2 7.44 0 0 7.44 7.2 14.88 7.2 89.28 133.92 76.56 52.08 43.2 22.32 0 7.44 0 7.2 14.88 72 74.4 66.96 73.92 59.52 36 14.88 7.2 0 0 7.2 22.32 28.8 89.28 81.84 80.64 59.52 57.6 37.2 7.2 0 0 7.2 29.76 36 215.76 66.96 60.48 81.84 43.2 29.76 21.6 7.44 0 7.2 22.32 36 44.64 81.84 48.72 66.96 57.6 7.44 0 0 7.44 7.2 7.44 28.8 66.96 66.96 53.76 59.52 28.8 14.88 0 7.44 7.44 7.2 7.44 43.2 52.08 52.08 73.92 52.08 36 14.88 0 0 7.44 7.2 14.88 28.8 96.72 74.4 73.92 52.08 28.8 22.32 7.2 7.44 0 7.2 22.32 36 59.52 96.72 62.64 66.96 57.6 14.88 7.2 0 0 7.2 14.88 36 89.28 126.48 94.08 59.52 43.2 14.88 0 7.44 7.44 7.2 7.44 28.8 44.64 74.4 53.76 89.28 36 14.88 0 7.44 0 7.2 7.44 36 59.52
sub_2 133.92 262.08 126.48 100.8 74.4 50.4 0 0 14.4 14.88 43.2 66.96 148.8 73.92 52.08 57.6 7.44 0 0 0 7.2 7.44 43.2 37.2 126.48 194.88 74.4 57.6 22.32 7.2 0 7.44 7.2 59.52 14.4 37.2 111.6 127.68 37.2 93.6 7.44 0 7.44 0 0 14.88 93.6 141.36 52.08 33.6 74.4 28.8 22.32 0 0 0 0 7.44 151.2 126.48 22.32 100.8 66.96 86.4 44.64 0 14.88 7.44 7.2 0 43.2 141.36 59.52 132.24 29.76 21.6 7.44 0 0 0 0 89.28 36 111.6 193.44 94.08 119.04 50.4 66.96 0 0 7.44 7.2 14.88 7.2 126.48 163.68 67.2 163.68 136.8 14.88 0 7.44 0 0 14.88 7.2 81.84 37.2 114.24 37.2 43.2 7.44 0 0 0 7.2 14.88 0 111.6 171.12 76.56 44.64 28.8 14.88 0 7.44 0 7.2 14.88 50.4 81.84 66.96 100.8 44.64 36 14.88 7.2 0 0 7.2 29.76 28.8 89.28 111.6 114.24 59.52 57.6 14.88 0 0 0 7.2 29.76 43.2 260.4 89.28 80.64 111.6 36 14.88 7.2 0 0 7.2 22.32 50.4 59.52 104.16 62.64 81.84 79.2 7.44 0 0 0 7.2 7.44 36 81.84 74.4 67.2 66.96 28.8 14.88 0 7.44 7.44 7.2 7.44 43.2 59.52 66.96 80.64 59.52 36 14.88 0 0 0 7.2 14.88 36 111.6 81.84 73.92 52.08 43.2 22.32 7.2 7.44 0 7.2 29.76 43.2 81.84 111.6 69.6 74.4 43.2 14.88 7.2 0 0 7.2 22.32 43.2 111.6 163.68 127.68 59.52 43.2 14.88 0 0 0 7.2 7.44 36 52.08 89.28 67.2 119.04 36 14.88 0 7.44 0 7.2 14.88 50.4 66.96
sub_3 438.96 477.12 186 122.4 215.76 57.6 0 0 7.2 52.08 280.8 104.16 141.36 295.68 126.48 64.8 7.44 21.6 0 7.44 0 59.52 158.4 59.52 275.28 334.08 104.16 100.8 37.2 21.6 7.44 0 50.4 126.48 57.6 66.96 148.8 194.88 81.84 93.6 0 28.8 0 0 21.6 44.64 230.4 297.6 148.8 80.64 89.28 64.8 29.76 0 0 0 0 0 136.8 505.92 186 73.92 163.68 237.6 59.52 0 0 22.32 0 0 129.6 349.68 126.48 334.08 52.08 50.4 44.64 7.2 0 0 7.2 141.36 57.6 230.64 171.12 107.52 163.68 100.8 200.88 50.4 0 0 7.2 29.76 165.6 498.48 245.52 174.72 305.04 259.2 44.64 7.2 0 0 0 7.44 129.6 200.88 29.76 255.36 29.76 72 29.76 7.2 22.32 0 21.6 96.72 36 156.24 282.72 97.44 44.64 50.4 29.76 7.2 0 7.44 0 66.96 108 104.16 66.96 215.04 111.6 50.4 66.96 64.8 0 7.44 7.2 81.84 72 126.48 245.52 161.28 89.28 136.8 44.64 7.2 0 7.44 14.4 126.48 115.2 238.08 66.96 114.24 215.76 43.2 89.28 43.2 0 7.44 7.2 74.4 100.8 37.2 171.12 69.6 186 86.4 14.88 21.6 0 7.44 0 44.64 194.4 275.28 44.64 40.32 119.04 50.4 22.32 28.8 0 7.44 28.8 22.32 50.4 44.64 22.32 215.04 163.68 43.2 14.88 0 0 7.44 57.6 66.96 100.8 290.16 22.32 127.68 52.08 57.6 14.88 7.2 7.44 7.44 7.2 29.76 72 193.44 290.16 48.72 267.84 79.2 22.32 36 0 0 0 208.32 129.6 171.12 282.72 241.92 133.92 144 14.88 14.4 0 7.44 14.4 22.32 172.8 44.64 148.8 47.04 133.92 122.4 29.76 7.2 0 0 7.2 29.76 151.2 133.92
sub_4 200.88 268.8 126.48 64.8 89.28 28.8 0 0 14.4 14.88 64.8 37.2 126.48 120.96 29.76 50.4 7.44 7.2 0 0 0 0 50.4 0 178.56 229.68 29.76 57.6 29.76 7.2 0 0 7.2 89.28 14.4 7.44 119.04 94.08 66.96 72 0 0 0 0 7.2 14.88 100.8 163.68 52.08 26.88 59.52 14.4 22.32 0 0 0 0 0 100.8 156.24 22.32 40.32 44.64 100.8 37.2 0 0 14.88 0 0 36 148.8 44.64 125.28 22.32 0 7.44 0 0 0 0 141.36 43.2 126.48 208.32 100.8 141.36 36 74.4 0 0 0 7.2 7.44 7.2 186 133.92 40.32 171.12 165.6 37.2 0 0 0 0 14.88 28.8 81.84 22.32 100.8 14.88 28.8 7.44 0 0 0 7.2 22.32 7.2 89.28 186 90.48 29.76 21.6 7.44 0 0 0 0 14.88 72 74.4 89.28 94.08 66.96 36 22.32 7.2 0 0 7.2 52.08 36 96.72 126.48 120.96 59.52 108 14.88 0 0 0 0 52.08 72 178.56 81.84 94.08 133.92 21.6 22.32 36 0 0 0 29.76 50.4 37.2 89.28 48.72 89.28 64.8 7.44 0 0 0 0 14.88 79.2 126.48 59.52 40.32 52.08 28.8 14.88 7.2 0 0 0 7.44 43.2 44.64 52.08 94.08 59.52 36 7.44 0 0 0 7.2 14.88 50.4 126.48 37.2 67.2 44.64 36 22.32 0 0 0 7.2 22.32 79.2 81.84 163.68 41.76 111.6 86.4 14.88 7.2 0 0 0 59.52 57.6 89.28 200.88 127.68 66.96 64.8 14.88 0 0 0 0 14.88 57.6 37.2 81.84 40.32 104.16 43.2 14.88 0 0 0 0 14.88 79.2 81.84
sub_5 111.6 215.04 111.6 79.2 66.96 43.2 0 0 14.4 14.88 36 44.64 119.04 47.04 37.2 43.2 0 0 0 0 7.2 0 28.8 14.88 104.16 160.08 59.52 50.4 14.88 7.2 0 0 7.2 52.08 7.2 22.32 89.28 100.8 29.76 72 0 0 7.44 0 0 14.88 72 111.6 37.2 20.16 52.08 21.6 14.88 0 0 0 0 0 100.8 96.72 14.88 73.92 44.64 72 37.2 0 7.44 7.44 0 0 28.8 104.16 44.64 97.44 22.32 7.2 0 0 0 0 0 74.4 21.6 89.28 141.36 73.92 96.72 36 59.52 0 0 0 7.2 14.88 7.2 89.28 133.92 47.04 133.92 122.4 14.88 0 0 0 0 7.44 7.2 59.52 22.32 80.64 29.76 28.8 0 0 0 0 7.2 14.88 0 81.84 133.92 62.64 29.76 21.6 7.44 0 0 0 7.2 7.44 36 59.52 44.64 80.64 29.76 28.8 14.88 7.2 0 0 0 22.32 21.6 74.4 96.72 87.36 44.64 50.4 7.44 0 0 0 0 29.76 36 223.2 66.96 60.48 104.16 21.6 14.88 14.4 0 0 7.2 14.88 36 29.76 66.96 41.76 66.96 72 7.44 0 0 0 0 7.44 28.8 66.96 52.08 47.04 44.64 14.4 7.44 0 0 0 0 7.44 28.8 37.2 37.2 60.48 37.2 28.8 7.44 0 0 0 7.2 14.88 21.6 89.28 52.08 47.04 29.76 28.8 14.88 0 7.44 0 7.2 29.76 36 66.96 96.72 41.76 59.52 28.8 7.44 0 0 0 0 14.88 36 89.28 141.36 107.52 37.2 36 7.44 0 0 0 7.2 7.44 21.6 29.76 59.52 40.32 96.72 21.6 7.44 0 7.44 0 0 7.44 36 44.64
sub_6 267.84 383.04 148.8 86.4 119.04 50.4 0 0 28.8 14.88 108 52.08 186 181.44 52.08 79.2 7.44 14.4 7.44 0 0 7.44 72 0 282.72 320.16 37.2 72 44.64 21.6 0 7.44 14.4 96.72 21.6 14.88 148.8 168 96.72 115.2 0 0 14.88 0 7.2 22.32 165.6 238.08 74.4 47.04 96.72 43.2 44.64 0 0 0 7.2 0 165.6 238.08 22.32 73.92 66.96 158.4 66.96 0 14.88 22.32 0 0 57.6 215.76 74.4 180.96 37.2 14.4 22.32 7.2 7.44 7.44 0 200.88 64.8 163.68 327.36 141.12 193.44 57.6 141.36 7.2 0 7.44 14.4 14.88 36 305.04 200.88 87.36 252.96 280.8 37.2 0 14.88 0 0 22.32 43.2 119.04 29.76 147.84 22.32 43.2 14.88 0 0 7.44 14.4 22.32 21.6 104.16 252.96 132.24 66.96 50.4 44.64 7.2 7.44 0 7.2 22.32 108 104.16 119.04 134.4 111.6 64.8 66.96 21.6 7.44 7.44 7.2 66.96 57.6 141.36 156.24 154.56 89.28 115.2 29.76 7.2 0 0 7.2 74.4 100.8 245.52 96.72 127.68 178.56 50.4 44.64 50.4 0 0 7.2 52.08 72 66.96 141.36 83.52 111.6 86.4 14.88 7.2 0 0 7.2 22.32 93.6 163.68 89.28 73.92 81.84 57.6 29.76 7.2 0 0 7.2 22.32 64.8 66.96 81.84 134.4 89.28 64.8 22.32 7.2 0 0 14.4 22.32 86.4 148.8 74.4 114.24 81.84 72 52.08 7.2 7.44 0 7.2 29.76 100.8 104.16 200.88 76.56 133.92 108 44.64 14.4 0 0 7.2 74.4 93.6 111.6 252.96 154.56 89.28 100.8 22.32 7.2 0 0 14.4 14.88 100.8 59.52 111.6 80.64 156.24 79.2 29.76 7.2 7.44 0 7.2 22.32 108 81.84
sub_7 148.8 262.08 66.96 50.4 74.4 7.2 0 0 0 22.32 57.6 22.32 89.28 87.36 52.08 36 0 0 0 0 0 7.44 43.2 7.44 133.92 160.08 29.76 28.8 14.88 0 0 0 0 81.84 14.4 7.44 89.28 94.08 44.64 36 0 0 0 0 0 7.44 64.8 133.92 37.2 26.88 52.08 7.2 14.88 0 0 0 0 0 72 163.68 22.32 33.6 29.76 64.8 22.32 0 0 7.44 0 0 50.4 119.04 52.08 111.36 14.88 7.2 0 0 0 0 7.2 74.4 36 111.6 96.72 107.52 81.84 36 22.32 7.2 0 0 0 0 14.4 126.48 89.28 47.04 126.48 86.4 14.88 0 0 0 0 7.44 36 59.52 22.32 94.08 7.44 21.6 0 0 0 0 7.2 22.32 14.4 37.2 133.92 48.72 7.44 7.2 0 0 0 0 0 22.32 36 44.64 74.4 100.8 52.08 21.6 7.44 0 0 0 14.4 52.08 21.6 52.08 133.92 73.92 44.64 79.2 14.88 0 0 0 0 22.32 50.4 89.28 37.2 60.48 96.72 0 14.88 21.6 0 0 0 14.88 21.6 7.44 37.2 20.88 52.08 36 0 0 0 0 0 7.44 79.2 104.16 22.32 13.44 14.88 7.2 0 0 0 0 0 0 14.4 7.44 7.44 67.2 37.2 14.4 0 0 0 0 7.2 7.44 50.4 148.8 0 47.04 7.44 14.4 7.44 0 0 0 0 7.44 79.2 52.08 133.92 13.92 89.28 50.4 0 0 0 0 0 59.52 36 44.64 148.8 120.96 44.64 36 0 0 0 0 0 0 28.8 0 74.4 20.16 52.08 36 0 0 0 0 0 7.44 57.6 37.2
sub_8 238.08 329.28 141.36 72 111.6 43.2 7.44 0 36 14.88 100.8 52.08 171.12 181.44 44.64 79.2 14.88 14.4 0 7.44 0 14.88 64.8 7.44 260.4 264.48 37.2 64.8 44.64 14.4 0 7.44 14.4 81.84 28.8 22.32 126.48 134.4 81.84 100.8 7.44 0 14.88 7.44 7.2 22.32 136.8 208.32 66.96 47.04 96.72 36 37.2 0 0 0 7.2 0 136.8 208.32 29.76 60.48 59.52 144 52.08 0 14.88 22.32 0 0 57.6 200.88 66.96 160.08 37.2 7.2 22.32 0 0 7.44 0 163.68 64.8 148.8 267.84 114.24 171.12 50.4 111.6 14.4 0 7.44 14.4 14.88 36 290.16 186 87.36 215.76 223.2 37.2 0 7.44 0 0 22.32 43.2 104.16 29.76 141.12 22.32 43.2 14.88 0 0 7.44 14.4 22.32 28.8 104.16 223.2 118.32 52.08 43.2 52.08 7.2 7.44 0 7.2 22.32 100.8 81.84 119.04 120.96 119.04 64.8 81.84 21.6 7.44 7.44 7.2 74.4 43.2 111.6 133.92 127.68 81.84 108 29.76 7.2 0 0 0 96.72 100.8 223.2 74.4 107.52 163.68 43.2 52.08 57.6 0 0 7.2 52.08 57.6 37.2 126.48 62.64 104.16 72 14.88 7.2 0 0 7.2 22.32 108 156.24 66.96 47.04 66.96 50.4 37.2 7.2 0 0 7.2 14.88 50.4 44.64 74.4 141.12 89.28 57.6 29.76 7.2 7.44 7.44 21.6 14.88 79.2 133.92 52.08 114.24 59.52 79.2 52.08 14.4 7.44 0 7.2 29.76 100.8 104.16 193.44 69.6 148.8 108 52.08 14.4 0 0 7.2 96.72 86.4 119.04 282.72 201.6 89.28 108 29.76 7.2 0 7.44 14.4 14.88 122.4 44.64 111.6 67.2 163.68 79.2 29.76 7.2 14.88 0 7.2 22.32 100.8 74.4
sub_9 312.48 369.6 156.24 93.6 141.36 36 7.44 0 43.2 22.32 129.6 81.84 223.2 262.08 66.96 86.4 14.88 14.4 0 7.44 7.2 29.76 86.4 29.76 312.48 299.28 52.08 64.8 66.96 14.4 0 7.44 21.6 96.72 50.4 44.64 126.48 141.12 74.4 122.4 0 7.2 7.44 7.44 7.2 22.32 144 238.08 74.4 80.64 148.8 43.2 44.64 0 0 0 0 0 129.6 245.52 29.76 67.2 74.4 208.8 44.64 0 7.44 22.32 7.2 0 72 260.4 81.84 180.96 37.2 7.2 14.88 0 0 7.44 7.2 163.68 79.2 186 275.28 127.68 215.76 64.8 111.6 28.8 0 7.44 21.6 22.32 50.4 364.56 215.76 107.52 275.28 259.2 37.2 0 7.44 0 0 22.32 72 119.04 44.64 215.04 29.76 64.8 22.32 0 0 7.44 14.4 29.76 43.2 141.36 215.76 90.48 52.08 36 29.76 7.2 7.44 0 7.2 29.76 115.2 96.72 111.6 134.4 119.04 57.6 66.96 14.4 7.44 7.44 7.2 74.4 50.4 119.04 156.24 127.68 89.28 108 29.76 7.2 0 7.44 0 126.48 122.4 245.52 81.84 120.96 200.88 57.6 44.64 50.4 0 0 7.2 59.52 64.8 52.08 148.8 69.6 141.36 72 14.88 7.2 7.44 0 7.2 29.76 136.8 186 81.84 53.76 81.84 50.4 29.76 14.4 7.44 7.44 14.4 22.32 57.6 59.52 96.72 174.72 104.16 64.8 22.32 7.2 7.44 14.88 28.8 22.32 79.2 163.68 66.96 127.68 52.08 79.2 44.64 21.6 14.88 0 7.2 37.2 115.2 133.92 230.64 69.6 171.12 100.8 44.64 7.2 0 0 7.2 133.92 86.4 156.24 357.12 282.24 104.16 129.6 29.76 7.2 0 7.44 14.4 14.88 151.2 59.52 148.8 73.92 186 79.2 37.2 7.2 22.32 0 7.2 22.32 122.4 89.28
sub_10 357.12 409.92 163.68 115.2 156.24 28.8 0 0 36 22.32 151.2 96.72 238.08 282.24 81.84 86.4 22.32 7.2 0 7.44 0 29.76 108 37.2 327.36 348 59.52 72 81.84 7.2 0 0 28.8 126.48 50.4 52.08 141.36 161.28 74.4 122.4 0 0 0 0 7.2 22.32 151.2 267.84 89.28 87.36 163.68 36 52.08 0 0 0 0 0 122.4 275.28 37.2 73.92 81.84 237.6 44.64 0 0 22.32 7.2 0 72 290.16 89.28 201.84 37.2 7.2 7.44 0 0 0 7.2 178.56 79.2 208.32 282.72 141.12 238.08 64.8 119.04 36 0 0 21.6 14.88 50.4 379.44 215.76 100.8 327.36 295.2 44.64 0 0 0 0 14.88 79.2 141.36 44.64 248.64 29.76 72 22.32 0 0 0 7.2 44.64 28.8 156.24 215.76 104.4 52.08 36 14.88 7.2 0 0 0 37.2 115.2 96.72 104.16 154.56 111.6 50.4 52.08 14.4 0 0 14.4 74.4 50.4 126.48 163.68 127.68 104.16 129.6 29.76 7.2 0 7.44 7.2 104.16 129.6 238.08 104.16 127.68 208.32 57.6 44.64 50.4 0 0 7.2 52.08 79.2 74.4 133.92 76.56 156.24 93.6 14.88 7.2 0 0 7.2 37.2 158.4 208.32 96.72 60.48 81.84 50.4 22.32 7.2 0 0 14.4 22.32 79.2 74.4 96.72 161.28 111.6 72 22.32 7.2 7.44 14.88 21.6 29.76 86.4 223.2 74.4 134.4 66.96 79.2 29.76 14.4 7.44 0 7.2 29.76 122.4 141.36 230.64 76.56 200.88 108 37.2 7.2 0 0 7.2 133.92 108 163.68 327.36 268.8 119.04 129.6 22.32 7.2 0 7.44 7.2 14.88 151.2 66.96 171.12 80.64 193.44 93.6 29.76 7.2 14.88 0 7.2 22.32 129.6 111.6
