"","value","count"
"1",1,52194
"2",2,25104
"3",4,244
"4",21,4
"5",22,3680
"6",24,65564
"7",28,12150
"8",33,5
"9",36,279163
"10",37,749
"11",42,3
"12",44,4
"13",46,1
"14",49,1505
"15",53,50
"16",54,6
"17",61,18094
"18",66,12014
"19",67,26622
"20",68,1
"21",69,146965
"22",71,13366
"23",72,4446
"24",74,796
"25",75,27557
"26",76,99722
"27",111,4645
"28",121,89358
"29",122,31267
"30",123,45814
"31",124,7649
"32",131,13312
"33",141,112
"34",142,243
"35",143,27
"36",152,5790
"37",176,361858
"38",190,5950
"39",195,58
"40",204,17901
"41",205,526
"42",207,1
"43",208,3
"44",209,96
"45",210,4812
"46",211,47067
"47",212,198941
"48",217,2862
"49",218,5507
"50",220,39500
"51",221,1
"52",225,639
"53",226,9
"54",227,1
"55",235,17
"56",NA,1168043
