"","paste0..subregion_...i.","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","subregion_1",20.220928,20.5254,36.18,42.9651,0.0972,0.1728,0.1152,0.0585,0.0207,0.0864,0.0999,23.5422
"2","subregion_2",532.232512,560.2554,602.9883,696.0294,614.3148,568.215,621.5166,523.3095,606.3858,607.2471,655.5087,665.7399
"3","subregion_3",1602.125952,1631.5983,1644.777,1657.4679,1614.8574,1684.7856,1667.1681,1483.0155,1441.9323,1637.9694,1703.4327,1653.1992
"4","subregion_4",1114.735104,1130.0436,1120.0149,1110.537,1075.077,1108.5831,1091.6064,992.3886,927.5121,1066.9473,970.344,1103.9013
"5","subregion_5",1430.900352,1432.7136,1471.2075,1383.2046,1367.946,1260.7632,1379.826,1310.6214,1270.8414,1403.4024,1287.2547,1319.6052
"6","subregion_6",1069.664512,1122.8382,1077.2775,1118.0412,1071.261,1161.6138,1110.7422,1092.024,1030.1742,1161.8577,1167.6681,1204.1271
"7","subregion_7",399.62048,384.8139,411.2946,412.7994,387.9495,371.8908,367.6203,388.9305,355.6719,380.3499,297.7344,381.9843
"8","subregion_8",1027.689152,1048.9059,1091.6262,1248.6231,1096.8894,1174.7376,1132.8786,1236.8997,1153.2699,1156.9626,1194.12,1228.221
"9","subregion_9",1713.946304,1685.0106,1702.1952,1829.7531,1664.3862,1796.3055,1666.4184,1801.9512,1729.3347,1702.6758,1750.1976,1796.2146
"10","subregion_10",1530.76,1567.512,1646.0568,1562.481,1621.9836,1644.1371,1582.7409,1503.522,1487.529,1524.618,1629.7551,1502.6184
"11","subregion_11",759.090752,705.2922,761.9778,871.6005,829.6164,797.868,848.2401,841.8924,829.0089,820.0935,916.4691,914.6808
"12","subregion_12",785.448832,778.5387,904.8969,898.3548,832.4154,778.5675,868.8105,808.0416,868.0635,867.0906,928.3149,918.2907
"13","subregion_13",2109.076032,2366.7021,2549.0142,2361.8745,2231.1612,2540.4012,2400.5034,2411.775,2451.6756,2481.4512,2566.2726,2478.2247
"14","subregion_14",1620.876096,1910.1249,1648.5273,1380.8583,1909.2258,1911.0258,1894.482,1624.293,1324.1502,1516.8285,1768.1301,1643.2524
"15","subregion_15",2515.10336,2528.3943,2381.3649,2450.7999,2452.446,2403.8577,2407.4361,2316.5271,2199.8529,2358.0459,2715.3846,2362.4982
"16","subregion_16",489.5296,564.6492,572.0697,468.297,544.2534,531.8559,546.6384,573.0111,560.0637,547.0857,571.9041,545.8023
"17","subregion_17",979.9216,1094.3145,1058.229,980.8182,1034.8569,982.7064,1114.1208,1088.2962,1092.0204,1078.3998,1133.5563,1105.0038
"18","subregion_18",2264.408384,2488.8915,2466.1269,2205.8541,2320.0137,2385.1359,2395.35,2405.1609,2397.1302,2445.6573,2569.9023,2442.9654
"19","subregion_19",1031.47744,1084.6008,1044.2241,802.5237,1036.6272,989.6301,972.1998,959.4441,943.1676,985.185,1071.4383,976.9815
"20","subregion_20",763.56896,871.0029,863.001,665.4096,818.2008,813.6405,832.4532,800.28,816.5502,838.9494,840.2697,838.5723
"21","subregion_21",1174.96512,1206.0387,1166.5674,933.4845,1139.7096,1148.9427,1154.6964,1164.6648,1089.7695,1175.1417,1242.1971,1168.5564
